source_type,source_id,source_ts,observed_ts,actor,service,intent,policy,action,outcome,source_pointer,correlation_id,content_hash
github.actions.run,github://repositories/1324720646/actions/runs/33690429641/attempts/1,2026-09-02T22:27:09Z,2026-09-02T22:45:56Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,execute_workflow,conclusion:success,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/33690429641,eacp-gha-1324720646-33690429641-1,524e7fd84fa169a7654a9254258a3a8da8b0eab6f74c22244db52ae74147fa40
github.actions.job,github://repositories/1324720646/actions/runs/33690429641/attempts/1/jobs/100447692409,2026-09-02T22:27:12Z,2026-09-02T22:45:56Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,execute_job,conclusion:success,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/33690429641/job/100447692409,eacp-gha-1324720646-33690429641-1,1bb375c7dcf22d6348b6ad4ac49479bca9f7f934a63a019ee5fb0d2565eceb92
github.actions.artifact,github://repositories/1324720646/actions/runs/33690429641/attempts/1/artifacts/9869818696,2026-09-02T22:28:07Z,2026-09-02T22:45:56Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,publish_artifact,available_at_capture,https://api.github.com/repos/obedebessa/eacp-operational-provenance/actions/artifacts/9869818696/zip,eacp-gha-1324720646-33690429641-1,644e710113fdfe649c94fd5aaf83c8f5693e43e5f4e30517d7edfb455e5fba32
