source_type,source_id,source_ts,observed_ts,actor,service,intent,policy,action,outcome,source_pointer,correlation_id,content_hash
github.actions.run,github://repositories/1324720646/actions/runs/31075453078/attempts/1,2026-08-06T05:52:51Z,2026-09-02T20:41:04Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/reproduce-small.yml,execute_workflow,conclusion:success,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/31075453078,eacp-gha-1324720646-31075453078-1,6b9f6446c8c273b210e00be529f985c2326499223890f6e882db4642c1d0e089
github.actions.job,github://repositories/1324720646/actions/runs/31075453078/attempts/1/jobs/92532374560,2026-08-06T05:52:54Z,2026-09-02T20:41:04Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/reproduce-small.yml,execute_job,conclusion:success,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/31075453078/job/92532374560,eacp-gha-1324720646-31075453078-1,35b17562a92678101425eaec0d968cfd4628936bc05fd08ebcdde09ace7fabfb
github.actions.job,github://repositories/1324720646/actions/runs/31075453078/attempts/1/jobs/92532375147,2026-08-06T05:52:52Z,2026-09-02T20:41:04Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/reproduce-small.yml,execute_job,conclusion:skipped,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/31075453078/job/92532375147,eacp-gha-1324720646-31075453078-1,de8c4e84684f1c674c8ba5e967537096ecdbfaad5554f80a767581e4c0973b3c
