source_type,source_id,source_ts,observed_ts,actor,service,intent,policy,action,outcome,source_pointer,correlation_id,content_hash
github.actions.run,github://repositories/1324720646/actions/runs/33690443082/attempts/1,2026-09-02T22:27:19Z,2026-09-02T22:46:37Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,execute_workflow,conclusion:success,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/33690443082,eacp-gha-1324720646-33690443082-1,4f1906f7835523b0afbccfeaefc4db3b98ef50c6a2db9642bf5231a65d04558a
github.actions.job,github://repositories/1324720646/actions/runs/33690443082/attempts/1/jobs/100447734391,2026-09-02T22:27:22Z,2026-09-02T22:46:37Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,execute_job,conclusion:success,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/33690443082/job/100447734391,eacp-gha-1324720646-33690443082-1,0fceb44c2b886fa3a5d0f535d8121cc887d977dbe47810fd50841ed901cf484a
github.actions.artifact,github://repositories/1324720646/actions/runs/33690443082/attempts/1/artifacts/9869824436,2026-09-02T22:28:18Z,2026-09-02T22:46:37Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,publish_artifact,available_at_capture,https://api.github.com/repos/obedebessa/eacp-operational-provenance/actions/artifacts/9869824436/zip,eacp-gha-1324720646-33690443082-1,2b9e14e547d135f121b20bf9920d9d2428798481ad00839687743a4d290fee26
