source_type,source_id,source_ts,observed_ts,actor,service,intent,policy,action,outcome,source_pointer,correlation_id,content_hash
github.actions.run,github://repositories/1324720646/actions/runs/33690432444/attempts/1,2026-09-02T22:27:11Z,2026-09-02T22:46:18Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,execute_workflow,conclusion:success,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/33690432444,eacp-gha-1324720646-33690432444-1,e20fac0cea35848696346834297ddf0b099eb4b02e92e07d7e67727bad00655e
github.actions.job,github://repositories/1324720646/actions/runs/33690432444/attempts/1/jobs/100447701400,2026-09-02T22:27:14Z,2026-09-02T22:46:18Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,execute_job,conclusion:success,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/33690432444/job/100447701400,eacp-gha-1324720646-33690432444-1,c77737f35c9f44ab60a1cce264f1e1a2a352da9e38258241bd33b98991b02d28
github.actions.artifact,github://repositories/1324720646/actions/runs/33690432444/attempts/1/artifacts/9869822518,2026-09-02T22:28:14Z,2026-09-02T22:46:18Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,publish_artifact,available_at_capture,https://api.github.com/repos/obedebessa/eacp-operational-provenance/actions/artifacts/9869822518/zip,eacp-gha-1324720646-33690432444-1,e2a22b23626f0cbd9969b642176f8ea699f300700154c3e5612ed8ec099eeb51
