source_type,source_id,source_ts,observed_ts,actor,service,intent,policy,action,outcome,source_pointer,correlation_id,content_hash
github.actions.run,github://repositories/1324720646/actions/runs/33690433602/attempts/1,2026-09-02T22:27:12Z,2026-09-02T22:46:19Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,execute_workflow,conclusion:success,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/33690433602,eacp-gha-1324720646-33690433602-1,119a44da40908ceb7db6220252225af0a780794fde85bc34be38edd4814f2c80
github.actions.job,github://repositories/1324720646/actions/runs/33690433602/attempts/1/jobs/100447704782,2026-09-02T22:27:15Z,2026-09-02T22:46:19Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,execute_job,conclusion:success,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/33690433602/job/100447704782,eacp-gha-1324720646-33690433602-1,e6d210cdc1bb2235b227913cdd284e8ca0c1c2517e293e1a0b132ec0becc948d
github.actions.artifact,github://repositories/1324720646/actions/runs/33690433602/attempts/1/artifacts/9869824446,2026-09-02T22:28:18Z,2026-09-02T22:46:19Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,publish_artifact,available_at_capture,https://api.github.com/repos/obedebessa/eacp-operational-provenance/actions/artifacts/9869824446/zip,eacp-gha-1324720646-33690433602-1,e32c57cd91624b7960e4a49e37ac9bd037a732ed0b1a0912b7e3da8ea0c6896b
