source_type,source_id,source_ts,observed_ts,actor,service,intent,policy,action,outcome,source_pointer,correlation_id,content_hash
kubernetes.audit,9f533571-4eb8-4ed6-8911-854c5bdcc362:ResponseComplete,2026-09-02T20:58:27.665866Z,2026-09-02T20:58:27.667035Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://9f533571-4eb8-4ed6-8911-854c5bdcc362,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,08bdc926c38e454927ce4ccd61eb412f65bbbb1a5e4c9caaac51872724cc9aef
kubernetes.audit,990a5929-5d2b-4b83-a7aa-c9ea8eea9a41:ResponseComplete,2026-09-02T20:58:27.670881Z,2026-09-02T20:58:27.671784Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://990a5929-5d2b-4b83-a7aa-c9ea8eea9a41,k8s://eacp-cross-plane-v13/serviceaccounts/eacp-observer,71320764aeb1380a56b324063398c180dac7e990bd2d65228d945f4295ea65a1
kubernetes.audit,3bcac385-5890-42e5-a157-b125ea311888:ResponseComplete,2026-09-02T20:58:27.670586Z,2026-09-02T20:58:27.672684Z,system:serviceaccount:kube-system:service-account-controller,eacp-cross-plane-v13/default,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://3bcac385-5890-42e5-a157-b125ea311888,k8s://eacp-cross-plane-v13/serviceaccounts/default,c03dfe9b3c109d44aab9266251558adc4a733081d3029c8a391ac97e390f731b
kubernetes.audit,eca265ec-c533-45e7-8663-5e107bf3022c:ResponseComplete,2026-09-02T20:58:27.672223Z,2026-09-02T20:58:27.745343Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,200,kubernetes-audit://eca265ec-c533-45e7-8663-5e107bf3022c,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,bcd39b08bf8ab1aca029e0db7372bac0625b8af20e87be1de0add18f57ed4c50
kubernetes.audit,cddb2901-2e4a-4cf6-a469-29ad92de9d6b:ResponseComplete,2026-09-02T20:58:27.670629Z,2026-09-02T20:58:27.745343Z,system:serviceaccount:kube-system:root-ca-cert-publisher,eacp-cross-plane-v13/kube-root-ca.crt,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://cddb2901-2e4a-4cf6-a469-29ad92de9d6b,k8s://eacp-cross-plane-v13/configmaps/kube-root-ca.crt,c2ab49cf323786428cf1d7c470126f6ef69c2b5018a0762026cbd31f31352a60
kubernetes.audit,95293232-921a-4c3b-918b-f47263703ab4:ResponseComplete,2026-09-02T20:58:27.746257Z,2026-09-02T20:58:27.748261Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://95293232-921a-4c3b-918b-f47263703ab4,k8s://eacp-cross-plane-v13/serviceaccounts/eacp-observer,afc8f61bb06c45f5bde5e7808fdeec8e164aa7b645fe2d5d7644043e77c8de60
kubernetes.audit,27d0d1de-7527-4cd1-a513-e2ff9dd3b25c:ResponseComplete,2026-09-02T20:58:27.749502Z,2026-09-02T20:58:27.750445Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://27d0d1de-7527-4cd1-a513-e2ff9dd3b25c,k8s://eacp-cross-plane-v13/roles/eacp-observer,343c191c1891643e869c0eedcf4e9866518e7bdb8766c3fea21c2369d3615fae
kubernetes.audit,b5b9522c-2c32-412a-a832-55572159d756:ResponseComplete,2026-09-02T20:58:27.750903Z,2026-09-02T20:58:27.751752Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,200,kubernetes-audit://b5b9522c-2c32-412a-a832-55572159d756,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,ca1925c317072fa25677b49cd96544ba6060eb5233e622097dbee7de894ab54f
kubernetes.audit,b58aff13-eb0a-42b4-aa9c-697178c8079b:ResponseComplete,2026-09-02T20:58:27.752278Z,2026-09-02T20:58:27.802203Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://b58aff13-eb0a-42b4-aa9c-697178c8079b,k8s://eacp-cross-plane-v13/roles/eacp-observer,72d27b8a02c9e35bafe54d824f5d83fbb76d2518286d29ffc975ecd2f3fb181c
kubernetes.audit,733923fd-a525-4de9-8d28-b93b397a126d:ResponseComplete,2026-09-02T20:58:27.802911Z,2026-09-02T20:58:27.803907Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://733923fd-a525-4de9-8d28-b93b397a126d,k8s://eacp-cross-plane-v13/rolebindings/eacp-observer,a70ef9865ef8e2e70df8d3bf09c417376a866a09bd07284b67e0b424bd19a766
kubernetes.audit,121a674f-70b0-4144-ae51-33758ac6650b:ResponseComplete,2026-09-02T20:58:27.804388Z,2026-09-02T20:58:27.805372Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,200,kubernetes-audit://121a674f-70b0-4144-ae51-33758ac6650b,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,fb07bff307e7dd8672af49cc436a48e45ae87861556e52c2fa682e04a0a5b7ea
kubernetes.audit,e02ad7c3-96d0-41cf-a1c8-c420d3cc6473:ResponseComplete,2026-09-02T20:58:27.805821Z,2026-09-02T20:58:27.807624Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://e02ad7c3-96d0-41cf-a1c8-c420d3cc6473,k8s://eacp-cross-plane-v13/rolebindings/eacp-observer,c6b5905b56f1afe3428a4c864801d946b6b91a2bd9cde4ac1d312172a8cce0a4
kubernetes.audit,3a9448a4-d7c8-4bf7-9695-65cd15b8444f:ResponseComplete,2026-09-02T20:58:27.808214Z,2026-09-02T20:58:27.808971Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://3a9448a4-d7c8-4bf7-9695-65cd15b8444f,k8s://eacp-cross-plane-v13/deployments/eacp-cross-plane,541fcf304d9294fe6a27904ebbfbeb2795330e6a1b950259e1b8f34ba3f05a11
kubernetes.audit,5dbb757c-f6fd-4d80-946d-0adf8004d246:ResponseComplete,2026-09-02T20:58:27.809350Z,2026-09-02T20:58:27.810198Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,200,kubernetes-audit://5dbb757c-f6fd-4d80-946d-0adf8004d246,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,f6c9e22bc1ddebdf19b1a37cb26551a185278cd6507a1334728d1a007545349a
kubernetes.audit,9021d615-3522-41a3-b855-2b3250cf92ca:ResponseComplete,2026-09-02T20:58:27.810752Z,2026-09-02T20:58:27.813373Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://9021d615-3522-41a3-b855-2b3250cf92ca,eacp-gha-1324720646-33682116347-2,5cd07a01c5a9d7edee30d0839532d8ad29c308a8ff257c427ca9fb7c3304694c
