scenario,algorithm,seed,configured_chain_count,configured_service_count,configured_overlap_fraction,temporal_window_ms,missing_id_events,wrong_id_events,collision_pairs,exact_duplicate_observations,conflicting_duplicate_observations,clock_skewed_events,late_events,jittered_events,truth_chain_count,event_count,canonical_event_count,observation_count,predicted_group_count,predicted_chain_group_count,complete_chain_count,complete_chain_coverage,exact_chain_accuracy,exact_chain_precision,exact_chain_recall,exact_chain_f1,mean_chain_member_coverage,true_join_pair_count,predicted_join_pair_count,correct_join_count,missed_join_count,missed_join_rate,false_join_count,false_join_rate,join_precision,join_recall,ambiguous_group_count,ambiguous_event_count,ambiguous_event_rate,accepted_ambiguous_group_count,detected_ambiguous_group_count,ambiguity_detection_true_positive,ambiguity_detection_false_positive,ambiguity_detection_false_negative,ambiguity_detection_precision,ambiguity_detection_recall,source_conflict_group_count,detected_source_conflict_group_count,source_conflict_detection_precision,source_conflict_detection_recall,abstained_observation_count,abstention_rate,deduplicated_observation_count,deduplication_rate,time_to_completeness_observations,time_to_completeness_p50_ms,time_to_completeness_p95_ms,time_to_completeness_max_ms,arrival_inversion_count,arrival_inversion_rate
missing_random_20pct,correlation_id_only_ablation,11359,600,24,0.25,1500,720,0,0,0,0,0,0,0,600,3600,3600,3600,1320,598,159,0.265,0.265,0.26588628762541805,0.265,0.2654424040066778,0.8,9000,5767,5767,3233,0.3592222222222222,0,0.0,1.0,0.6407777777777778,0,0,0.0,0,0,0,0,0,,,0,0,,,720,0.2,0,0.0,159,1275.0,1275.0,1275.0,0,0.0
missing_random_20pct,naive_temporal_window,11359,600,24,0.25,1500,720,0,0,0,0,0,0,0,600,3600,3600,3600,600,600,456,0.76,0.76,0.76,0.76,0.76,0.94,9000,9648,8352,648,0.072,1296,0.13432835820895522,0.8656716417910447,0.928,72,648,0.18,72,72,72,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,456,1275.0,1275.0,1275.0,0,0.0
wrong_id_same_service_1pct,strict_service_plus_correlation,11359,600,24,0.25,1500,0,36,0,0,0,0,0,0,600,3600,3600,3600,813,564,531,0.885,0.885,0.9414893617021277,0.885,0.9123711340206185,0.9408333333333333,9000,8295,8295,705,0.07833333333333334,0,0.0,1.0,0.9216666666666666,36,249,0.06916666666666667,0,36,36,0,0,1.0,1.0,0,0,,,249,0.06916666666666667,0,0.0,531,1275.0,1275.0,1275.0,0,0.0
wrong_id_same_service_1pct,correlation_id_only_ablation,11359,600,24,0.25,1500,0,36,0,0,0,0,0,0,600,3600,3600,3600,600,600,531,0.885,0.885,0.885,0.885,0.885,0.99,9000,9033,8820,180,0.02,213,0.023580205911657257,0.9764197940883428,0.98,36,249,0.06916666666666667,36,36,36,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,531,1275.0,1275.0,1275.0,0,0.0
wrong_id_same_service_1pct,naive_temporal_window,11359,600,24,0.25,1500,0,36,0,0,0,0,0,0,600,3600,3600,3600,600,600,456,0.76,0.76,0.76,0.76,0.76,0.94,9000,9648,8352,648,0.072,1296,0.13432835820895522,0.8656716417910447,0.928,72,648,0.18,72,72,72,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,456,1275.0,1275.0,1275.0,0,0.0
wrong_id_same_service_5pct,strict_service_plus_correlation,11359,600,24,0.25,1500,0,180,0,0,0,0,0,0,600,3600,3600,3600,1528,441,323,0.5383333333333333,0.5383333333333333,0.7324263038548753,0.5383333333333333,0.6205571565802114,0.7422222222222222,9000,5967,5967,3033,0.337,0,0.0,1.0,0.663,159,1087,0.30194444444444446,0,159,159,0,0,1.0,1.0,0,0,,,1087,0.30194444444444446,0,0.0,323,1275.0,1275.0,1275.0,0,0.0
wrong_id_same_service_5pct,correlation_id_only_ablation,11359,600,24,0.25,1500,0,180,0,0,0,0,0,0,600,3600,3600,3600,600,600,323,0.5383333333333333,0.5383333333333333,0.5383333333333333,0.5383333333333333,0.5383333333333333,0.95,9000,9171,8122,878,0.09755555555555556,1049,0.11438229200741468,0.8856177079925853,0.9024444444444445,159,1087,0.30194444444444446,159,159,159,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,323,1275.0,1275.0,1275.0,0,0.0
wrong_id_same_service_5pct,naive_temporal_window,11359,600,24,0.25,1500,0,180,0,0,0,0,0,0,600,3600,3600,3600,600,600,456,0.76,0.76,0.76,0.76,0.76,0.94,9000,9648,8352,648,0.072,1296,0.13432835820895522,0.8656716417910447,0.928,72,648,0.18,72,72,72,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,456,1275.0,1275.0,1275.0,0,0.0
wrong_id_same_service_10pct,strict_service_plus_correlation,11359,600,24,0.25,1500,0,360,0,0,0,0,0,0,600,3600,3600,3600,2112,337,176,0.29333333333333333,0.29333333333333333,0.5222551928783383,0.29333333333333333,0.3756670224119531,0.58,9000,4110,4110,4890,0.5433333333333333,0,0.0,1.0,0.45666666666666667,263,1775,0.4930555555555556,0,263,263,0,0,1.0,1.0,0,0,,,1775,0.4930555555555556,0,0.0,176,1275.0,1275.0,1275.0,0,0.0
wrong_id_same_service_10pct,correlation_id_only_ablation,11359,600,24,0.25,1500,0,360,0,0,0,0,0,0,600,3600,3600,3600,600,600,176,0.29333333333333333,0.29333333333333333,0.29333333333333333,0.29333333333333333,0.29333333333333333,0.9,9000,9335,7291,1709,0.18988888888888888,2044,0.2189608998393144,0.7810391001606856,0.8101111111111111,263,1775,0.4930555555555556,263,263,263,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,176,1275.0,1275.0,1275.0,0,0.0
wrong_id_same_service_10pct,naive_temporal_window,11359,600,24,0.25,1500,0,360,0,0,0,0,0,0,600,3600,3600,3600,600,600,456,0.76,0.76,0.76,0.76,0.76,0.94,9000,9648,8352,648,0.072,1296,0.13432835820895522,0.8656716417910447,0.928,72,648,0.18,72,72,72,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,456,1275.0,1275.0,1275.0,0,0.0
wrong_id_same_service_20pct,strict_service_plus_correlation,11359,600,24,0.25,1500,0,720,0,0,0,0,0,0,600,3600,3600,3600,2930,175,45,0.075,0.075,0.2571428571428571,0.075,0.11612903225806451,0.35277777777777775,9000,1692,1692,7308,0.812,0,0.0,1.0,0.188,424,2755,0.7652777777777777,0,424,424,0,0,1.0,1.0,0,0,,,2755,0.7652777777777777,0,0.0,45,1275.0,1275.0,1275.0,0,0.0
wrong_id_same_service_20pct,correlation_id_only_ablation,11359,600,24,0.25,1500,0,720,0,0,0,0,0,0,600,3600,3600,3600,599,599,45,0.075,0.075,0.07512520868113523,0.075,0.07506255212677232,0.8002777777777778,9000,9583,5765,3235,0.35944444444444446,3818,0.39841385787331735,0.6015861421266827,0.6405555555555555,424,2755,0.7652777777777777,424,424,424,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,45,1275.0,1275.0,1275.0,0,0.0
wrong_id_same_service_20pct,naive_temporal_window,11359,600,24,0.25,1500,0,720,0,0,0,0,0,0,600,3600,3600,3600,600,600,456,0.76,0.76,0.76,0.76,0.76,0.94,9000,9648,8352,648,0.072,1296,0.13432835820895522,0.8656716417910447,0.928,72,648,0.18,72,72,72,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,456,1275.0,1275.0,1275.0,0,0.0
missing_plane_deployment,strict_service_plus_correlation,11359,600,24,0.25,1500,600,0,0,0,0,0,0,0,600,3600,3600,3600,1200,600,0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,9000,6000,6000,3000,0.3333333333333333,0,0.0,1.0,0.6666666666666666,0,0,0.0,0,0,0,0,0,,,0,0,,,600,0.16666666666666666,0,0.0,0,,,,0,0.0
missing_plane_deployment,correlation_id_only_ablation,11359,600,24,0.25,1500,600,0,0,0,0,0,0,0,600,3600,3600,3600,1200,600,0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,9000,6000,6000,3000,0.3333333333333333,0,0.0,1.0,0.6666666666666666,0,0,0.0,0,0,0,0,0,,,0,0,,,600,0.16666666666666666,0,0.0,0,,,,0,0.0
missing_plane_deployment,naive_temporal_window,11359,600,24,0.25,1500,600,0,0,0,0,0,0,0,600,3600,3600,3600,600,600,456,0.76,0.76,0.76,0.76,0.76,0.94,9000,9648,8352,648,0.072,1296,0.13432835820895522,0.8656716417910447,0.928,72,648,0.18,72,72,72,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,456,1275.0,1275.0,1275.0,0,0.0
missing_plane_identity,strict_service_plus_correlation,11359,600,24,0.25,1500,600,0,0,0,0,0,0,0,600,3600,3600,3600,1200,600,0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,9000,6000,6000,3000,0.3333333333333333,0,0.0,1.0,0.6666666666666666,0,0,0.0,0,0,0,0,0,,,0,0,,,600,0.16666666666666666,0,0.0,0,,,,0,0.0
missing_plane_identity,correlation_id_only_ablation,11359,600,24,0.25,1500,600,0,0,0,0,0,0,0,600,3600,3600,3600,1200,600,0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,9000,6000,6000,3000,0.3333333333333333,0,0.0,1.0,0.6666666666666666,0,0,0.0,0,0,0,0,0,,,0,0,,,600,0.16666666666666666,0,0.0,0,,,,0,0.0
missing_plane_identity,naive_temporal_window,11359,600,24,0.25,1500,600,0,0,0,0,0,0,0,600,3600,3600,3600,600,600,456,0.76,0.76,0.76,0.76,0.76,0.94,9000,9648,8352,648,0.072,1296,0.13432835820895522,0.8656716417910447,0.928,72,648,0.18,72,72,72,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,456,1275.0,1275.0,1275.0,0,0.0
missing_plane_policy,strict_service_plus_correlation,11359,600,24,0.25,1500,600,0,0,0,0,0,0,0,600,3600,3600,3600,1200,600,0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,9000,6000,6000,3000,0.3333333333333333,0,0.0,1.0,0.6666666666666666,0,0,0.0,0,0,0,0,0,,,0,0,,,600,0.16666666666666666,0,0.0,0,,,,0,0.0
missing_plane_policy,correlation_id_only_ablation,11359,600,24,0.25,1500,600,0,0,0,0,0,0,0,600,3600,3600,3600,1200,600,0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,9000,6000,6000,3000,0.3333333333333333,0,0.0,1.0,0.6666666666666666,0,0,0.0,0,0,0,0,0,,,0,0,,,600,0.16666666666666666,0,0.0,0,,,,0,0.0
missing_plane_policy,naive_temporal_window,11359,600,24,0.25,1500,600,0,0,0,0,0,0,0,600,3600,3600,3600,600,600,456,0.76,0.76,0.76,0.76,0.76,0.94,9000,9648,8352,648,0.072,1296,0.13432835820895522,0.8656716417910447,0.928,72,648,0.18,72,72,72,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,456,1275.0,1275.0,1275.0,0,0.0
missing_plane_telemetry,strict_service_plus_correlation,11359,600,24,0.25,1500,600,0,0,0,0,0,0,0,600,3600,3600,3600,1200,600,0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,9000,6000,6000,3000,0.3333333333333333,0,0.0,1.0,0.6666666666666666,0,0,0.0,0,0,0,0,0,,,0,0,,,600,0.16666666666666666,0,0.0,0,,,,0,0.0
missing_plane_telemetry,correlation_id_only_ablation,11359,600,24,0.25,1500,600,0,0,0,0,0,0,0,600,3600,3600,3600,1200,600,0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,9000,6000,6000,3000,0.3333333333333333,0,0.0,1.0,0.6666666666666666,0,0,0.0,0,0,0,0,0,,,0,0,,,600,0.16666666666666666,0,0.0,0,,,,0,0.0
missing_plane_telemetry,naive_temporal_window,11359,600,24,0.25,1500,600,0,0,0,0,0,0,0,600,3600,3600,3600,600,600,456,0.76,0.76,0.76,0.76,0.76,0.94,9000,9648,8352,648,0.072,1296,0.13432835820895522,0.8656716417910447,0.928,72,648,0.18,72,72,72,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,456,1275.0,1275.0,1275.0,0,0.0
