source_type,source_id,source_ts,observed_ts,actor,service,intent,policy,action,outcome,source_pointer,correlation_id,content_hash
github.actions.run,github://repositories/1324720646/actions/runs/33690436849/attempts/1,2026-09-02T22:27:14Z,2026-09-02T22:46:19Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,execute_workflow,conclusion:success,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/33690436849,eacp-gha-1324720646-33690436849-1,5915dfeb0e446c43ba31a7f1733138da7cf9ac54b8615f2a0edbc57bf528ecd6
github.actions.job,github://repositories/1324720646/actions/runs/33690436849/attempts/1/jobs/100447715695,2026-09-02T22:27:17Z,2026-09-02T22:46:19Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,execute_job,conclusion:success,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/33690436849/job/100447715695,eacp-gha-1324720646-33690436849-1,3526a65cdf743dbc9ad61fb7625f28af215bd8f52cfdecea14a20b11d13e4972
github.actions.artifact,github://repositories/1324720646/actions/runs/33690436849/attempts/1/artifacts/9869819795,2026-09-02T22:28:09Z,2026-09-02T22:46:19Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,publish_artifact,available_at_capture,https://api.github.com/repos/obedebessa/eacp-operational-provenance/actions/artifacts/9869819795/zip,eacp-gha-1324720646-33690436849-1,e34dc60d3b26aed2c5315ef0031808c627c850d8e5cd88f9d322df356186c492
