timestamp_utc,round,operation,resource
2026-08-06T03:15:28Z,2,create,configmap/eacp-r02-cm007
2026-08-06T03:15:28Z,2,patch,configmap/eacp-r02-cm007
2026-08-06T03:15:29Z,2,get,configmap/eacp-r02-cm007
2026-08-06T03:15:29Z,2,create,configmap/eacp-r02-cm008
2026-08-06T03:15:29Z,2,patch,configmap/eacp-r02-cm008
2026-08-06T03:15:29Z,2,get,configmap/eacp-r02-cm008
2026-08-06T03:15:29Z,2,create,configmap/eacp-r02-cm009
2026-08-06T03:15:29Z,2,patch,configmap/eacp-r02-cm009
2026-08-06T03:15:29Z,2,get,configmap/eacp-r02-cm009
2026-08-06T03:15:29Z,2,create,configmap/eacp-r02-cm010
2026-08-06T03:15:29Z,2,patch,configmap/eacp-r02-cm010
2026-08-06T03:15:29Z,2,get,configmap/eacp-r02-cm010
2026-08-06T03:15:29Z,2,create,configmap/eacp-r02-cm011
2026-08-06T03:15:29Z,2,patch,configmap/eacp-r02-cm011
2026-08-06T03:15:29Z,2,get,configmap/eacp-r02-cm011
2026-08-06T03:15:29Z,2,create,configmap/eacp-r02-cm012
2026-08-06T03:15:29Z,2,patch,configmap/eacp-r02-cm012
2026-08-06T03:15:29Z,2,get,configmap/eacp-r02-cm012
2026-08-06T03:15:29Z,2,create,configmap/eacp-r02-cm013
2026-08-06T03:15:29Z,2,patch,configmap/eacp-r02-cm013
2026-08-06T03:15:29Z,2,get,configmap/eacp-r02-cm013
2026-08-06T03:15:29Z,2,create,configmap/eacp-r02-cm014
2026-08-06T03:15:29Z,2,patch,configmap/eacp-r02-cm014
2026-08-06T03:15:29Z,2,get,configmap/eacp-r02-cm014
2026-08-06T03:15:29Z,2,create,configmap/eacp-r02-cm015
2026-08-06T03:15:29Z,2,patch,configmap/eacp-r02-cm015
2026-08-06T03:15:29Z,2,get,configmap/eacp-r02-cm015
2026-08-06T03:15:30Z,2,create,configmap/eacp-r02-cm016
2026-08-06T03:15:30Z,2,patch,configmap/eacp-r02-cm016
2026-08-06T03:15:30Z,2,get,configmap/eacp-r02-cm016
2026-08-06T03:15:30Z,2,create,configmap/eacp-r02-cm017
2026-08-06T03:15:30Z,2,patch,configmap/eacp-r02-cm017
2026-08-06T03:15:30Z,2,get,configmap/eacp-r02-cm017
2026-08-06T03:15:30Z,2,create,configmap/eacp-r02-cm018
2026-08-06T03:15:30Z,2,patch,configmap/eacp-r02-cm018
2026-08-06T03:15:30Z,2,get,configmap/eacp-r02-cm018
2026-08-06T03:15:30Z,2,create,configmap/eacp-r02-cm019
2026-08-06T03:15:30Z,2,patch,configmap/eacp-r02-cm019
2026-08-06T03:15:30Z,2,get,configmap/eacp-r02-cm019
2026-08-06T03:15:30Z,2,create,configmap/eacp-r02-cm020
2026-08-06T03:15:30Z,2,patch,configmap/eacp-r02-cm020
2026-08-06T03:15:30Z,2,get,configmap/eacp-r02-cm020
2026-08-06T03:15:30Z,2,list,configmaps
2026-08-06T03:15:30Z,2,list,configmaps
2026-08-06T03:15:30Z,2,list,configmaps
2026-08-06T03:15:30Z,2,list,configmaps
2026-08-06T03:15:30Z,2,list,configmaps
2026-08-06T03:15:30Z,2,list,configmaps
2026-08-06T03:15:30Z,2,list,configmaps
2026-08-06T03:15:30Z,2,list,configmaps
2026-08-06T03:15:30Z,2,list,configmaps
2026-08-06T03:15:31Z,2,list,configmaps
2026-08-06T03:15:31Z,2,patch-denied,configmap/eacp-r02-cm001
2026-08-06T03:15:31Z,2,delete,configmap/eacp-r02-cm001
2026-08-06T03:15:31Z,2,delete,configmap/eacp-r02-cm002
2026-08-06T03:15:31Z,2,delete,configmap/eacp-r02-cm003
2026-08-06T03:15:31Z,2,delete,configmap/eacp-r02-cm004
2026-08-06T03:15:31Z,3,patch,deployment/eacp-demo
2026-08-06T03:15:31Z,3,create,configmap/eacp-r03-cm001
2026-08-06T03:15:31Z,3,patch,configmap/eacp-r03-cm001
2026-08-06T03:15:31Z,3,get,configmap/eacp-r03-cm001
2026-08-06T03:15:31Z,3,create,configmap/eacp-r03-cm002
2026-08-06T03:15:31Z,3,patch,configmap/eacp-r03-cm002
2026-08-06T03:15:31Z,3,get,configmap/eacp-r03-cm002
2026-08-06T03:15:31Z,3,create,configmap/eacp-r03-cm003
2026-08-06T03:15:31Z,3,patch,configmap/eacp-r03-cm003
2026-08-06T03:15:31Z,3,get,configmap/eacp-r03-cm003
2026-08-06T03:15:31Z,3,create,configmap/eacp-r03-cm004
2026-08-06T03:15:31Z,3,patch,configmap/eacp-r03-cm004
2026-08-06T03:15:31Z,3,get,configmap/eacp-r03-cm004
2026-08-06T03:15:31Z,3,create,configmap/eacp-r03-cm005
2026-08-06T03:15:31Z,3,patch,configmap/eacp-r03-cm005
2026-08-06T03:15:31Z,3,get,configmap/eacp-r03-cm005
2026-08-06T03:15:31Z,3,create,configmap/eacp-r03-cm006
2026-08-06T03:15:31Z,3,patch,configmap/eacp-r03-cm006
2026-08-06T03:15:32Z,3,get,configmap/eacp-r03-cm006
2026-08-06T03:15:32Z,3,create,configmap/eacp-r03-cm007
2026-08-06T03:15:32Z,3,patch,configmap/eacp-r03-cm007
2026-08-06T03:15:32Z,3,get,configmap/eacp-r03-cm007
2026-08-06T03:15:32Z,3,create,configmap/eacp-r03-cm008
2026-08-06T03:15:32Z,3,patch,configmap/eacp-r03-cm008
2026-08-06T03:15:32Z,3,get,configmap/eacp-r03-cm008
2026-08-06T03:15:32Z,3,create,configmap/eacp-r03-cm009
2026-08-06T03:15:32Z,3,patch,configmap/eacp-r03-cm009
2026-08-06T03:15:32Z,3,get,configmap/eacp-r03-cm009
2026-08-06T03:15:32Z,3,create,configmap/eacp-r03-cm010
2026-08-06T03:15:32Z,3,patch,configmap/eacp-r03-cm010
2026-08-06T03:15:32Z,3,get,configmap/eacp-r03-cm010
2026-08-06T03:15:32Z,3,create,configmap/eacp-r03-cm011
2026-08-06T03:15:32Z,3,patch,configmap/eacp-r03-cm011
2026-08-06T03:15:32Z,3,get,configmap/eacp-r03-cm011
2026-08-06T03:15:32Z,3,create,configmap/eacp-r03-cm012
2026-08-06T03:15:32Z,3,patch,configmap/eacp-r03-cm012
2026-08-06T03:15:32Z,3,get,configmap/eacp-r03-cm012
2026-08-06T03:15:32Z,3,create,configmap/eacp-r03-cm013
2026-08-06T03:15:32Z,3,patch,configmap/eacp-r03-cm013
2026-08-06T03:15:32Z,3,get,configmap/eacp-r03-cm013
2026-08-06T03:15:32Z,3,create,configmap/eacp-r03-cm014
2026-08-06T03:15:32Z,3,patch,configmap/eacp-r03-cm014
2026-08-06T03:15:32Z,3,get,configmap/eacp-r03-cm014
2026-08-06T03:15:32Z,3,create,configmap/eacp-r03-cm015
2026-08-06T03:15:33Z,3,patch,configmap/eacp-r03-cm015
2026-08-06T03:15:33Z,3,get,configmap/eacp-r03-cm015
2026-08-06T03:15:33Z,3,create,configmap/eacp-r03-cm016
2026-08-06T03:15:33Z,3,patch,configmap/eacp-r03-cm016
2026-08-06T03:15:33Z,3,get,configmap/eacp-r03-cm016
2026-08-06T03:15:33Z,3,create,configmap/eacp-r03-cm017
2026-08-06T03:15:33Z,3,patch,configmap/eacp-r03-cm017
2026-08-06T03:15:33Z,3,get,configmap/eacp-r03-cm017
2026-08-06T03:15:33Z,3,create,configmap/eacp-r03-cm018
2026-08-06T03:15:33Z,3,patch,configmap/eacp-r03-cm018
2026-08-06T03:15:33Z,3,get,configmap/eacp-r03-cm018
2026-08-06T03:15:33Z,3,create,configmap/eacp-r03-cm019
2026-08-06T03:15:33Z,3,patch,configmap/eacp-r03-cm019
2026-08-06T03:15:33Z,3,get,configmap/eacp-r03-cm019
2026-08-06T03:15:33Z,3,create,configmap/eacp-r03-cm020
2026-08-06T03:15:33Z,3,patch,configmap/eacp-r03-cm020
2026-08-06T03:15:33Z,3,get,configmap/eacp-r03-cm020
2026-08-06T03:15:33Z,3,list,configmaps
2026-08-06T03:15:33Z,3,list,configmaps
2026-08-06T03:15:33Z,3,list,configmaps
2026-08-06T03:15:33Z,3,list,configmaps
2026-08-06T03:15:33Z,3,list,configmaps
2026-08-06T03:15:33Z,3,list,configmaps
2026-08-06T03:15:34Z,3,list,configmaps
2026-08-06T03:15:34Z,3,list,configmaps
2026-08-06T03:15:34Z,3,list,configmaps
2026-08-06T03:15:34Z,3,list,configmaps
2026-08-06T03:15:34Z,3,patch-denied,deployment/eacp-demo
2026-08-06T03:15:34Z,3,delete,configmap/eacp-r03-cm001
2026-08-06T03:15:34Z,3,delete,configmap/eacp-r03-cm002
2026-08-06T03:15:34Z,3,delete,configmap/eacp-r03-cm003
2026-08-06T03:15:34Z,3,delete,configmap/eacp-r03-cm004
