source_type,source_id,source_ts,observed_ts,actor,service,intent,policy,action,outcome,source_pointer,correlation_id,content_hash
kubernetes.audit,d477dfa5-9a4c-4612-9caf-bf45070917a2:ResponseComplete,2026-09-02T20:55:49.685582Z,2026-09-02T20:55:49.687792Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://d477dfa5-9a4c-4612-9caf-bf45070917a2,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,20dd0bb6ea43bd0226dc53a94736254a30cc48c782a56209d49f6bd7237af6c3
kubernetes.audit,11210244-415d-4d17-927b-f84aa89de8e8:ResponseComplete,2026-09-02T20:55:49.693564Z,2026-09-02T20:55:49.695990Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://11210244-415d-4d17-927b-f84aa89de8e8,k8s://eacp-cross-plane-v13/serviceaccounts/eacp-observer,2c73f939cd4fc72c64854060709850391875f89762253f94ddd0321a222dfb48
kubernetes.audit,3ea2724f-1016-431b-89c3-7a0c428062db:ResponseComplete,2026-09-02T20:55:49.694236Z,2026-09-02T20:55:49.697128Z,system:serviceaccount:kube-system:service-account-controller,eacp-cross-plane-v13/default,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://3ea2724f-1016-431b-89c3-7a0c428062db,k8s://eacp-cross-plane-v13/serviceaccounts/default,105d6db9cbf2f528faa5b2b1164f96b3386d0fb79e951f713b193c7cbf5c9602
kubernetes.audit,92226252-4ad9-4bce-b96f-ebc925b298fc:ResponseComplete,2026-09-02T20:55:49.696538Z,2026-09-02T20:55:49.698936Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,200,kubernetes-audit://92226252-4ad9-4bce-b96f-ebc925b298fc,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,65f91364ad1519847cf592b7325c79c3f18ebca3e7539bf6d0e6d048a97b3397
kubernetes.audit,c895c400-db73-439f-b7f5-a90391b8f3b6:ResponseComplete,2026-09-02T20:55:49.694289Z,2026-09-02T20:55:49.699408Z,system:serviceaccount:kube-system:root-ca-cert-publisher,eacp-cross-plane-v13/kube-root-ca.crt,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://c895c400-db73-439f-b7f5-a90391b8f3b6,k8s://eacp-cross-plane-v13/configmaps/kube-root-ca.crt,4d2df47b0c4eeb301dc49dfd0c7055b6ffd098ce7ec2d1a4c2c7c90f34e0bfea
kubernetes.audit,2dc1f4a6-b0c7-47b0-be8a-b333ac77878e:ResponseComplete,2026-09-02T20:55:49.699970Z,2026-09-02T20:55:49.704466Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://2dc1f4a6-b0c7-47b0-be8a-b333ac77878e,k8s://eacp-cross-plane-v13/serviceaccounts/eacp-observer,60acebb1d794e013fc0de3c65c7ad40036859bb7b809e1f4ae177d5a5670fccb
kubernetes.audit,bb860dbd-96a2-4657-bb7a-81dd27e6e2c1:ResponseComplete,2026-09-02T20:55:49.707136Z,2026-09-02T20:55:49.709317Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://bb860dbd-96a2-4657-bb7a-81dd27e6e2c1,k8s://eacp-cross-plane-v13/roles/eacp-observer,e05abf074695fc926f0e5fdd739ef48345e6413ea114905e2c4cb0626a722c23
kubernetes.audit,5c0b061c-1a8f-493c-9b4a-70ac681e97ba:ResponseComplete,2026-09-02T20:55:49.709711Z,2026-09-02T20:55:49.711073Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,200,kubernetes-audit://5c0b061c-1a8f-493c-9b4a-70ac681e97ba,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,be1fbfbc25042cf272b3729f37bdb86a59d3f9e55f9354e17b4eeff4284bf1c8
kubernetes.audit,f3a2079e-a992-46b5-9995-d3f46d64ebae:ResponseComplete,2026-09-02T20:55:49.711467Z,2026-09-02T20:55:49.713737Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://f3a2079e-a992-46b5-9995-d3f46d64ebae,k8s://eacp-cross-plane-v13/roles/eacp-observer,3a976863f3e13cf1fa69558e0c6f65d4fdac705508191dea621f8d9e68177472
kubernetes.audit,ede47f7b-8d97-4d9b-adec-43025c80fcb8:ResponseComplete,2026-09-02T20:55:49.714288Z,2026-09-02T20:55:49.716034Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://ede47f7b-8d97-4d9b-adec-43025c80fcb8,k8s://eacp-cross-plane-v13/rolebindings/eacp-observer,2534383411d40a8bc11f821d756f9ef2b0812186051a945da0b9bb09dd4b3cd5
kubernetes.audit,74b3aa8d-9a4c-4073-9007-98e3f0153a06:ResponseComplete,2026-09-02T20:55:49.716482Z,2026-09-02T20:55:49.718570Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,200,kubernetes-audit://74b3aa8d-9a4c-4073-9007-98e3f0153a06,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,c11f6363532b46fae95801587c85f1b864517bb656ddb1c2149ae6c33983369f
kubernetes.audit,18ab63b2-9e24-40d6-9729-150050b49769:ResponseComplete,2026-09-02T20:55:49.719189Z,2026-09-02T20:55:49.722844Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://18ab63b2-9e24-40d6-9729-150050b49769,k8s://eacp-cross-plane-v13/rolebindings/eacp-observer,b93cb8b4ee52986e95ec0713b4373d6423298ee215144c5e4053b09f3484ac1a
