source_type,source_id,source_ts,observed_ts,actor,service,intent,policy,action,outcome,source_pointer,correlation_id,content_hash
github.actions.run,github://repositories/1324720646/actions/runs/33690438222/attempts/1,2026-09-02T22:27:15Z,2026-09-02T22:46:37Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,execute_workflow,conclusion:success,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/33690438222,eacp-gha-1324720646-33690438222-1,848ed60d8b9ecc8cb6fa962f41b7796e4c2a9e3a71d773eaf6a153df1fa1093a
github.actions.job,github://repositories/1324720646/actions/runs/33690438222/attempts/1/jobs/100447720788,2026-09-02T22:27:19Z,2026-09-02T22:46:37Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,execute_job,conclusion:success,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/33690438222/job/100447720788,eacp-gha-1324720646-33690438222-1,388bc13f713763499fb333588209bfe52004da9d6ed46348f734ee0788d5d2d5
github.actions.artifact,github://repositories/1324720646/actions/runs/33690438222/attempts/1/artifacts/9869822820,2026-09-02T22:28:15Z,2026-09-02T22:46:37Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,publish_artifact,available_at_capture,https://api.github.com/repos/obedebessa/eacp-operational-provenance/actions/artifacts/9869822820/zip,eacp-gha-1324720646-33690438222-1,02256a6db6a63d19a2f202c9b54fcfac1cbb8ec0cbde785bcc14d442dd6987a0
