event_count,trial,seed,query_type,sample_position,query_key,row_count,row_sha256,full_indexes_connect_plus_first_query_ms,no_service_index_connect_plus_first_query_ms,no_correlation_index_connect_plus_first_query_ms,no_lookup_indexes_connect_plus_first_query_ms
10000,1,9238,correlation,16,corr-9238-00001037,6,1cc87c4f74384a002d1c2c9b06b28a69047e00e86a0f8ac56e565ceb9f89ecdc,0.111125,0.103875,0.904833,0.862666
10000,1,9238,correlation,17,corr-9238-00000512,6,ee95ab61a02e98a645429e9204dc4e8fa470833a1ed93f4b2fbee212cfce6853,0.104375,0.097667,0.871459,0.849584
10000,1,9238,correlation,18,corr-9238-00001279,6,e00451eeb242fc72c9956c090eac63b309442242ea43548789a50deec145a5c1,0.115542,0.101542,0.889875,1.134542
10000,1,9238,correlation,19,corr-9238-00001599,6,017a135cd66370a47a2dda9b767cf2a4fafa6885ec4e7c4b0b7510fdfcded9f9,0.115958,0.122083,0.871041,0.894834
10000,2,9339,service,0,svc-0025,48,5aa5f1d8afb2bfb503505b0bf1579df462c929ab38b8ac60c88299135a95cb39,0.178791,0.96425,0.337792,0.968458
10000,2,9339,service,1,svc-0069,48,8cc741badc5f4c32eac884e4da2db227460476434579b74d0b5edb03111a620e,0.162625,0.883542,0.166666,0.884958
10000,2,9339,service,2,svc-0034,48,a9565a74363e4d73ce888fdb5fd3f45dcc44a56d191a91dfd34327523034694d,0.148917,0.904167,0.163208,1.019959
10000,2,9339,service,3,svc-0090,48,b5352a6d0f639b0bffdd7a2e3db535808d7834adc132a8cae54382344136fba4,0.197917,1.2055,0.31875,0.930708
10000,2,9339,service,4,svc-0105,54,1f8db42c20bb40d62fcb1b7bddfa5e82061edc666a90c0aa816706094ae67fa1,0.153583,0.868083,0.181542,0.844417
10000,2,9339,service,5,svc-0188,54,f39f68ef260296133a8fd990cf67882a12d2a54c512cb270c76e673608b8fed7,0.19575,0.895458,0.164417,0.89475
10000,2,9339,service,6,svc-0087,48,9e7fb50c7ab5ec2d3657291ee67a120307a2ec4867ec7965b4056d4071764709,0.159875,0.891167,0.163125,0.885541
