event_count,variant,trials,service_index,correlation_index,all_outputs_equivalent,ingest_us_per_event_median,ingest_us_per_event_q1,ingest_us_per_event_q3,ingest_us_per_event_min,ingest_us_per_event_max,ingest_events_per_second_median,ingest_events_per_second_q1,ingest_events_per_second_q3,ingest_events_per_second_min,ingest_events_per_second_max,ingest_time_ratio_to_full_median,ingest_time_ratio_to_full_q1,ingest_time_ratio_to_full_q3,ingest_time_ratio_to_full_min,ingest_time_ratio_to_full_max,ingest_time_reduction_vs_full_percent_median,ingest_time_reduction_vs_full_percent_q1,ingest_time_reduction_vs_full_percent_q3,ingest_time_reduction_vs_full_percent_min,ingest_time_reduction_vs_full_percent_max,database_bytes_median,database_bytes_q1,database_bytes_q3,database_bytes_min,database_bytes_max,database_bytes_per_event_median,database_bytes_per_event_q1,database_bytes_per_event_q3,database_bytes_per_event_min,database_bytes_per_event_max,database_size_ratio_to_full_median,database_size_ratio_to_full_q1,database_size_ratio_to_full_q3,database_size_ratio_to_full_min,database_size_ratio_to_full_max,database_bytes_reduction_vs_full_percent_median,database_bytes_reduction_vs_full_percent_q1,database_bytes_reduction_vs_full_percent_q3,database_bytes_reduction_vs_full_percent_min,database_bytes_reduction_vs_full_percent_max,dbstat_table_bytes_median,dbstat_table_bytes_q1,dbstat_table_bytes_q3,dbstat_table_bytes_min,dbstat_table_bytes_max,dbstat_unique_autoindex_bytes_median,dbstat_unique_autoindex_bytes_q1,dbstat_unique_autoindex_bytes_q3,dbstat_unique_autoindex_bytes_min,dbstat_unique_autoindex_bytes_max,dbstat_retained_source_index_bytes_median,dbstat_retained_source_index_bytes_q1,dbstat_retained_source_index_bytes_q3,dbstat_retained_source_index_bytes_min,dbstat_retained_source_index_bytes_max,dbstat_lookup_index_bytes_median,dbstat_lookup_index_bytes_q1,dbstat_lookup_index_bytes_q3,dbstat_lookup_index_bytes_min,dbstat_lookup_index_bytes_max,warm_service_p50_ms_median,warm_service_p50_ms_q1,warm_service_p50_ms_q3,warm_service_p50_ms_min,warm_service_p50_ms_max,warm_service_p95_ms_median,warm_service_p95_ms_q1,warm_service_p95_ms_q3,warm_service_p95_ms_min,warm_service_p95_ms_max,warm_service_p95_ratio_to_full_median,warm_service_p95_ratio_to_full_q1,warm_service_p95_ratio_to_full_q3,warm_service_p95_ratio_to_full_min,warm_service_p95_ratio_to_full_max,warm_correlation_p50_ms_median,warm_correlation_p50_ms_q1,warm_correlation_p50_ms_q3,warm_correlation_p50_ms_min,warm_correlation_p50_ms_max,warm_correlation_p95_ms_median,warm_correlation_p95_ms_q1,warm_correlation_p95_ms_q3,warm_correlation_p95_ms_min,warm_correlation_p95_ms_max,warm_correlation_p95_ratio_to_full_median,warm_correlation_p95_ratio_to_full_q1,warm_correlation_p95_ratio_to_full_q3,warm_correlation_p95_ratio_to_full_min,warm_correlation_p95_ratio_to_full_max,cold_open_service_p95_ms_median,cold_open_service_p95_ms_q1,cold_open_service_p95_ms_q3,cold_open_service_p95_ms_min,cold_open_service_p95_ms_max,cold_open_service_p95_ratio_to_full_median,cold_open_service_p95_ratio_to_full_q1,cold_open_service_p95_ratio_to_full_q3,cold_open_service_p95_ratio_to_full_min,cold_open_service_p95_ratio_to_full_max,cold_open_correlation_p95_ms_median,cold_open_correlation_p95_ms_q1,cold_open_correlation_p95_ms_q3,cold_open_correlation_p95_ms_min,cold_open_correlation_p95_ms_max,cold_open_correlation_p95_ratio_to_full_median,cold_open_correlation_p95_ratio_to_full_q1,cold_open_correlation_p95_ratio_to_full_q3,cold_open_correlation_p95_ratio_to_full_min,cold_open_correlation_p95_ratio_to_full_max
10000,full_indexes,10,1,1,1,4.586566649959423,4.508029174758121,4.625859325096826,4.36883329966804,4.718966700602323,218028.53075692896,216178.12453977947,221829.41810546725,211910.79815680016,228894.0619629464,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4149248.0,4149248.0,4149248.0,4149248.0,4161536.0,414.9248,414.9248,414.9248,414.9248,416.1536,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2572288.0,2572288.0,2572288.0,2572288.0,2572288.0,196608.0,196608.0,196608.0,196608.0,196608.0,425984.0,425984.0,425984.0,425984.0,425984.0,946176.0,946176.0,946176.0,946176.0,958464.0,0.0593335,0.058140625,0.061088500000000004,0.0573125,0.063271,0.073322775,0.068871475,0.07668961250000002,0.06752920000000001,0.0945878,1.0,1.0,1.0,1.0,1.0,0.015625,0.0152085,0.015937375,0.014708,0.017417,0.023080050000000005,0.0222165125,0.02341675,0.018361050000000007,0.03178125000000001,1.0,1.0,1.0,1.0,1.0,0.20276565000000005,0.19553415000000002,0.22240221250000006,0.18612290000000004,0.2515625000000001,1.0,1.0,1.0,1.0,1.0,0.13889065,0.12891545000000007,0.152992825,0.1180006,0.22374760000000005,1.0,1.0,1.0,1.0,1.0
10000,no_service_index,10,0,1,1,4.19371250027325,4.065256250032689,4.396959349469398,3.9738000006764196,4.619233300036285,238503.60280688747,227451.4266706667,245990.97004672932,216486.14283936357,251648.29629819823,0.9192044411214646,0.9023597749576426,0.9377069262818108,0.8939390068600622,1.0039438068235118,8.079555887853534,6.229307371818916,9.76402250423574,-0.39438068235118084,10.606099313993777,3723264.0,3723264.0,3723264.0,3723264.0,3735552.0,372.3264,372.3264,372.3264,372.3264,373.5552,0.8973346495557749,0.8973346495557749,0.8973346495557749,0.8973346495557749,0.8976377952755905,10.26653504442251,10.26653504442251,10.26653504442251,10.236220472440948,10.26653504442251,2572288.0,2572288.0,2572288.0,2572288.0,2572288.0,196608.0,196608.0,196608.0,196608.0,196608.0,425984.0,425984.0,425984.0,425984.0,425984.0,520192.0,520192.0,520192.0,520192.0,532480.0,0.32436475,0.31983362499999995,0.33027624999999994,0.316938,0.33664550000000004,0.3630349500000001,0.3493275,0.394907625,0.34750624999999996,0.42327085000000003,5.076624658166475,4.897493403601086,5.149438307747133,4.474898982744075,5.398071714387864,0.0148125,0.01457325,0.0151145,0.014125,0.01625,0.019715325000000002,0.018923025000000003,0.020688437500000004,0.0165,0.02487705,0.8599093369213158,0.8393240750775464,0.8968783775957013,0.7732641101278269,0.941587803500847,0.9592883750000001,0.9501083375000003,1.012951975,0.9367312499999999,1.11407085,4.696468879962767,4.402227245572115,4.936325184294608,4.062415701863354,5.25230483536743,0.13857482500000012,0.125843425,0.14452658750000003,0.1151226,0.14976905000000004,0.9272081943688363,0.8287043147830551,1.06663057928432,0.6116708848551374,1.2172251666516953
10000,no_correlation_index,10,1,0,1,4.2279499997675885,4.156971899283235,4.371037499731756,4.074479101109318,4.427954199491069,236545.236598379,228789.80698380197,240560.03467205196,225837.9276178909,245430.1458382103,0.930390278298852,0.9178084781941139,0.9442550601390796,0.8970543613114366,0.9673409038004093,6.960972170114804,5.574493986092041,8.21915218058861,3.265909619959073,10.294563868856343,3629056.0,3629056.0,3629056.0,3629056.0,3629056.0,362.9056,362.9056,362.9056,362.9056,362.9056,0.8746298124383021,0.8746298124383021,0.8746298124383021,0.8720472440944882,0.8746298124383021,12.537018756169793,12.537018756169793,12.537018756169793,12.537018756169793,12.795275590551181,2572288.0,2572288.0,2572288.0,2572288.0,2572288.0,196608.0,196608.0,196608.0,196608.0,196608.0,425984.0,425984.0,425984.0,425984.0,425984.0,425984.0,425984.0,425984.0,425984.0,425984.0,0.059176999999999993,0.05778625,0.0608905,0.057375,0.063271,0.07311652499999999,0.0677993375,0.08038202500000002,0.06634135000000001,0.08940415,0.985481513559372,0.9678435459995121,1.022260300247433,0.9373191724025818,1.1333377063745305,0.33585425,0.331973875,0.340026125,0.3295,0.35133349999999997,0.369500725,0.3662727125,0.37574961250000005,0.3571827,0.44124405000000005,15.937392239528254,15.748398061714711,16.812516846711468,13.88378525073746,19.45328290048771,0.23440570000000002,0.22143452500000008,0.2698310125,0.1763,0.33883365,1.1508134343461953,1.0268510436265226,1.2924596158241075,0.8645523955285525,1.4408077045089605,0.9550206750000001,0.9468680875,0.9896281375,0.9204413500000002,1.09070835,6.992311971631534,6.417589127239171,7.526872171430011,4.272297669338129,8.07117516719693
10000,no_lookup_indexes,10,0,0,1,3.877677099808352,3.827976025058888,3.92158959984954,3.756762499688193,4.223125000135042,257888.96134456055,254998.64800015555,261235.91785214233,236791.47549930992,266186.643441793,0.8563525161710466,0.8393360957235498,0.8672164718827793,0.8101588213094177,0.9113117697436076,14.364748382895343,13.278352811722076,16.066390427645015,8.868823025639239,18.984117869058224,3203072.0,3203072.0,3203072.0,3203072.0,3203072.0,320.3072,320.3072,320.3072,320.3072,320.3072,0.771964461994077,0.771964461994077,0.771964461994077,0.7696850393700787,0.771964461994077,22.8035538005923,22.8035538005923,22.8035538005923,22.8035538005923,23.03149606299213,2572288.0,2572288.0,2572288.0,2572288.0,2572288.0,196608.0,196608.0,196608.0,196608.0,196608.0,425984.0,425984.0,425984.0,425984.0,425984.0,0.0,0.0,0.0,0.0,0.0,0.32461450000000003,0.31942725,0.329505,0.317438,0.3350625,0.35830327500000003,0.3512723375,0.37814218750000006,0.34592114999999996,0.42704375,4.9718651643971015,4.8512589689002095,5.163610064056592,4.51478679068548,5.357484178321562,0.32439575,0.32223937500000005,0.329442625,0.31933350000000005,0.34235400000000005,0.36066635,0.35488941250000006,0.3638186375,0.3515271,0.40608305,15.616519196271796,15.273651032020982,16.059025798450506,12.777441101278265,19.219674256101904,1.00009285,0.933860075,1.0123696625,0.9165541500000001,1.03787465,4.61080040697452,4.277981142762336,5.029943701640773,4.001153788819874,5.400847773164934,0.9625449500000001,0.9351951750000002,0.9899386375,0.9110455500000001,1.1599253000000003,7.0415921297013035,6.342575455625986,7.6973004248516546,4.26843639887087,8.322092006311834
50000,full_indexes,10,1,1,1,4.774658329988597,4.72825875505805,4.832319374982035,4.55621750006685,4.938245000084862,209444.84380122664,206940.1084486315,211495.1924727793,202501.0909711477,219480.30355998757,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20639744.0,20639744.0,20639744.0,20639744.0,20692992.0,412.79488,412.79488,412.79488,412.79488,413.85984,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12836864.0,12836864.0,12836864.0,12836864.0,12836864.0,1007616.0,1007616.0,1007616.0,1007616.0,1007616.0,2101248.0,2101248.0,2101248.0,2101248.0,2101248.0,4685824.0,4685824.0,4685824.0,4685824.0,4739072.0,0.30845875,0.30269824999999995,0.31670325,0.298375,0.3238125,0.36245610000000006,0.3552461250000001,0.3764505375,0.3400923,0.4009333500000001,1.0,1.0,1.0,1.0,1.0,0.028145999999999997,0.0264165,0.031494875,0.023979,0.0327295,0.047797775,0.0441658625,0.05360042500000002,0.037252049999999995,0.06936010000000001,1.0,1.0,1.0,1.0,1.0,0.54553365,0.5218601625,0.6256825375,0.5012101000000001,0.67562645,1.0,1.0,1.0,1.0,1.0,0.27257605,0.241468275,0.31171673750000006,0.21838125000000008,0.35719375,1.0,1.0,1.0,1.0,1.0
50000,no_service_index,10,0,1,1,4.305406660132576,4.268376664986135,4.333329369910643,4.136799999978393,4.400615839986131,232269.2080516457,230769.5923869053,234282.58642385356,227240.92180769675,241732.74028360643,0.8995491286439465,0.8930453181859369,0.9101045742761871,0.8743710203837717,0.9414934998147123,10.04508713560534,8.989542572381293,10.695468181406305,5.8506500185287695,12.562897961622832,18546688.0,18546688.0,18546688.0,18546688.0,18599936.0,370.93376,370.93376,370.93376,370.93376,371.99872,0.8985909902758484,0.8985909902758484,0.8985909902758484,0.8985909902758484,0.8988519398258116,10.140900972415157,10.140900972415157,10.140900972415157,10.114806017418843,10.140900972415157,12836864.0,12836864.0,12836864.0,12836864.0,12836864.0,1007616.0,1007616.0,1007616.0,1007616.0,1007616.0,2101248.0,2101248.0,2101248.0,2101248.0,2101248.0,2592768.0,2592768.0,2592768.0,2592768.0,2646016.0,1.76036475,1.7366982499999999,1.8068855,1.7131875,1.833854,1.9428715500000002,1.9034062500000002,1.9799993500000002,1.87419615,2.13715835,5.358778518879328,5.301158176221492,5.436978984445264,5.119610151601493,5.589034212182987,0.023281,0.0229165,0.024750125,0.020979,0.0254995,0.03761370000000001,0.03468680000000001,0.04686960000000001,0.031375,0.06324855000000004,0.824078745425389,0.7786080567474307,0.8587245022042566,0.7637276145383654,0.9118866610630613,4.512781250000001,4.3696804375,4.70408755,4.1886357,4.830092000000001,8.143316016688159,7.40391877286587,8.631615335877507,6.7816258525698645,8.779485660244072,0.22261057500000003,0.1883909625,0.24609945000000003,0.18239825,0.30170385,0.7916859201829914,0.7799201050374119,0.8306504295674092,0.7430983546614575,0.9743831259794774
50000,no_correlation_index,10,1,0,1,4.419811670086347,4.396249999990687,4.454991044913186,4.249784999992698,4.559593339799903,226255.4806876794,224467.87194394125,227466.86435615583,219317.8043469738,235306.02136383796,0.9248963974229799,0.9058500844263524,0.9518774130867124,0.8947689698856263,0.9648878571412713,7.510360257702009,4.81225869132876,9.41499155736475,3.5112142858728657,10.523103011437374,18046976.0,18046976.0,18046976.0,18046976.0,18046976.0,360.93952,360.93952,360.93952,360.93952,360.93952,0.8743798372692995,0.8743798372692995,0.8743798372692995,0.8721298495645289,0.8743798372692995,12.562016273070054,12.562016273070054,12.562016273070054,12.562016273070054,12.787015043547111,12836864.0,12836864.0,12836864.0,12836864.0,12836864.0,1007616.0,1007616.0,1007616.0,1007616.0,1007616.0,2101248.0,2101248.0,2101248.0,2101248.0,2101248.0,2093056.0,2093056.0,2093056.0,2093056.0,2093056.0,0.30659375,0.30051574999999997,0.31657775,0.2961045,0.32095850000000004,0.35885505000000006,0.3485010500000001,0.37400575000000014,0.3419527500000001,0.4219794500000001,0.9891362312456672,0.9837357674672917,1.003617343475753,0.9626807282832105,1.0524927646951794,1.861094,1.8073695,1.945218625,1.729542,1.9655,2.099273975,2.0604031125000004,2.2368793125,1.9134565499999998,3.1049437500000003,44.62178667491139,42.30972617955244,47.149449733552444,38.763266392838766,51.36513426777855,0.5837455250000001,0.5641993500000001,0.6186761875000001,0.5258104000000001,0.7336107500000004,1.0664952563861276,0.9801800347404674,1.1005407999380685,0.9139924121708778,1.1655324102153228,4.444263375,4.268811975,4.517151662500001,4.1446018,4.7247166499999995,15.871306105631355,14.335390649461276,18.319576972087393,13.227321726653951,19.423227726739352
50000,no_lookup_indexes,10,0,0,1,3.94868832998327,3.91714041987143,3.9987187550286762,3.7938833399675786,4.091729159990791,253249.9835908101,250080.21989027355,255289.341975862,244395.45260670444,263582.1690839196,0.8241132939309064,0.8179263753342432,0.8464223364795527,0.7979891025102628,0.8627906108185435,17.58867060690936,15.357766352044727,18.20736246657568,13.720938918145652,20.201089748973722,15953920.0,15953920.0,15953920.0,15953920.0,15953920.0,319.0784,319.0784,319.0784,319.0784,319.0784,0.7729708275451479,0.7729708275451479,0.7729708275451479,0.7709817893903405,0.7729708275451479,22.70291724548521,22.70291724548521,22.70291724548521,22.70291724548521,22.901821060965954,12836864.0,12836864.0,12836864.0,12836864.0,12836864.0,1007616.0,1007616.0,1007616.0,1007616.0,1007616.0,2101248.0,2101248.0,2101248.0,2101248.0,2101248.0,0.0,0.0,0.0,0.0,0.0,1.7615622499999999,1.7330781249999998,1.8037550000000002,1.7026875000000001,1.8399585,1.9440396,1.9043646875,1.9861677875,1.88218125,2.0787681,5.377467241235992,5.277724185160774,5.4501286560951225,5.13082413604769,5.573424773215978,1.72431275,1.695078375,1.7520835,1.6422504999999998,1.7892505,1.8614678750000002,1.827469325,1.95359695,1.75726845,2.6550756500000006,38.67794940930183,37.2802083563628,42.0684572437887,34.462816532725356,47.17239588156894,4.474273074999999,4.277498925,4.701711300000001,4.213316649999999,5.452716650000004,8.093451312195718,7.341968781111942,8.394516908870143,6.9867529609002155,9.940802661713942,4.464259525,4.36188145,4.5662116125,4.20030835,4.7534291500000005,16.214509207374107,14.532767353247841,18.113437567720744,13.307705271998742,20.067836638905575
100000,full_indexes,10,1,1,1,4.8147397950378945,4.744839274935657,4.8438334374077385,4.7035079199122265,4.951874160033185,207700.49256882042,206448.05668248373,210759.7757266256,201943.74244625363,212607.27461869805,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,41398272.0,41398272.0,41398272.0,41398272.0,41484288.0,413.98272,413.98272,413.98272,413.98272,414.84288,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,25665536.0,25665536.0,25665536.0,25665536.0,25665536.0,2072576.0,2072576.0,2072576.0,2072576.0,2072576.0,4222976.0,4222976.0,4222976.0,4222976.0,4222976.0,9428992.0,9428992.0,9428992.0,9428992.0,9515008.0,0.60670825,0.6037287499999999,0.613245125,0.5931660000000001,0.6239165,0.690742725,0.6736349000000001,0.7031016625000001,0.66277085,0.7454232500000001,1.0,1.0,1.0,1.0,1.0,0.035989499999999994,0.03454175,0.03801525,0.033771,0.0472495,0.056499850000000004,0.05292875000000001,0.06250093750000002,0.04951670000000001,0.07700175000000001,1.0,1.0,1.0,1.0,1.0,0.911798375,0.895285125,0.9359407000000001,0.8709708500000001,0.97828125,1.0,1.0,1.0,1.0,1.0,0.2946884,0.279570925,0.314114575,0.23392885000000002,0.35455385000000006,1.0,1.0,1.0,1.0,1.0
100000,no_service_index,10,0,1,1,4.223284795007203,4.203317294959561,4.284770107551594,4.142853329976788,4.50749249997898,236782.86823379892,233389.95008917325,237907.48638220236,221852.83724923854,241379.53249858425,0.8843487971282222,0.8776412719483353,0.8972635046855851,0.8454396648102084,0.9249321973590495,11.56512028717777,10.273649531441489,12.235872805166473,7.506780264095047,15.456033518979162,37191680.0,37191680.0,37191680.0,37191680.0,37277696.0,371.9168,371.9168,371.9168,371.9168,372.77696,0.8983872563569804,0.8983872563569804,0.8983872563569804,0.8983872563569804,0.8985979462875198,10.161274364301963,10.161274364301963,10.161274364301963,10.140205371248022,10.161274364301963,25665536.0,25665536.0,25665536.0,25665536.0,25665536.0,2072576.0,2072576.0,2072576.0,2072576.0,2072576.0,4222976.0,4222976.0,4222976.0,4222976.0,4222976.0,5222400.0,5222400.0,5222400.0,5222400.0,5308416.0,3.59459375,3.5775313750000004,3.61528125,3.54325,3.6654590000000002,3.88421195,3.8367602375,3.9896390750000004,3.7898815500000005,4.066054800000002,5.651081309441061,5.600181986113464,5.7332521665884935,5.409988955938791,5.860595106136607,0.025698,0.025526124999999997,0.026542,0.0252915,0.030208,0.047239425,0.045697862500000005,0.049843712500000005,0.04109025000000001,0.07015180000000001,0.8553839809788922,0.8024167837154181,0.8673651337824131,0.7861109863371049,0.9110416321706976,8.084751950000001,7.911803237500001,8.279953875,7.878611050000001,8.522258,8.83848944234294,8.68826701793723,8.958706518030482,8.543217406122302,9.74652984807276,0.253166825,0.244131325,0.2613619625,0.21880805000000006,0.31506605,0.8932425121294825,0.8093654162819903,0.9079571579872374,0.7881521699656859,0.935361542622896
