source_type,source_id,source_ts,observed_ts,actor,service,intent,policy,action,outcome,source_pointer,correlation_id,content_hash
kubernetes.audit,911cc4d5-bf21-409b-a63c-6b8952b9f794:ResponseComplete,2026-09-02T22:27:54.210821Z,2026-09-02T22:27:54.212395Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://911cc4d5-bf21-409b-a63c-6b8952b9f794,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,705987c3341614d26d13e564b35f6ced07112d334de39c2a3f9930d40e345d52
kubernetes.audit,a1d9942c-4cd9-413b-83d0-108dd0890aaf:ResponseComplete,2026-09-02T22:27:54.219388Z,2026-09-02T22:27:54.223521Z,system:serviceaccount:kube-system:service-account-controller,eacp-cross-plane-v13/default,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://a1d9942c-4cd9-413b-83d0-108dd0890aaf,k8s://eacp-cross-plane-v13/serviceaccounts/default,12caa52298086a21fd1457e9bd1b1f5d9984f695409d7a97231697f86b237ac5
kubernetes.audit,7aa62949-6446-439a-8d3a-21926e4e51b4:ResponseComplete,2026-09-02T22:27:54.221888Z,2026-09-02T22:27:54.224773Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://7aa62949-6446-439a-8d3a-21926e4e51b4,k8s://eacp-cross-plane-v13/serviceaccounts/eacp-observer,9258c0cadb422a5ec11d15c64fe3f9de9a09e989f0718cd1d2f5e0481b2549d9
kubernetes.audit,a78c2309-a9a8-4f71-b621-81e5f80d38ea:ResponseComplete,2026-09-02T22:27:54.227901Z,2026-09-02T22:27:54.229266Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,200,kubernetes-audit://a78c2309-a9a8-4f71-b621-81e5f80d38ea,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,61ccd76a2c403dfbfda18b37b7f0d53d7e36978853ca54eb4a55555ab9a53845
kubernetes.audit,33dc5960-40fd-4707-9f02-85b28423b5b7:ResponseComplete,2026-09-02T22:27:54.217985Z,2026-09-02T22:27:54.230291Z,system:serviceaccount:kube-system:root-ca-cert-publisher,eacp-cross-plane-v13/kube-root-ca.crt,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://33dc5960-40fd-4707-9f02-85b28423b5b7,k8s://eacp-cross-plane-v13/configmaps/kube-root-ca.crt,1b077080da704a9a61f7fd9eadd75d2f6b3bda9a67e4f4e8d9d758bdcf35755d
kubernetes.audit,059c1fd9-e7a9-41eb-a292-8c36d27dd413:ResponseComplete,2026-09-02T22:27:54.230780Z,2026-09-02T22:27:54.234142Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://059c1fd9-e7a9-41eb-a292-8c36d27dd413,k8s://eacp-cross-plane-v13/serviceaccounts/eacp-observer,9614f9015a99f91ed954056c9297c64be6bc8f8c7d0c503fe06966a850179137
kubernetes.audit,f018bb6f-93d1-4448-a146-a5895a0a98f0:ResponseComplete,2026-09-02T22:27:54.235142Z,2026-09-02T22:27:54.236585Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://f018bb6f-93d1-4448-a146-a5895a0a98f0,k8s://eacp-cross-plane-v13/roles/eacp-observer,524dc8f84583bd7508fc91d188f74f22c7eccc20996d1a0adcb27ffc4c490924
kubernetes.audit,cb05fbb0-98a8-4337-b6e9-e5fb3f19c089:ResponseComplete,2026-09-02T22:27:54.237163Z,2026-09-02T22:27:54.238274Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,200,kubernetes-audit://cb05fbb0-98a8-4337-b6e9-e5fb3f19c089,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,76d3a83677c0befc51bf3296afce9d8ed26211c4fbcc56c86a42d7b65416f58d
kubernetes.audit,b140b8f7-c1d3-4033-af69-0ef2eff7cbb1:ResponseComplete,2026-09-02T22:27:54.239174Z,2026-09-02T22:27:54.241769Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://b140b8f7-c1d3-4033-af69-0ef2eff7cbb1,k8s://eacp-cross-plane-v13/roles/eacp-observer,0fec2945f80faad7c350bec39eff71cfaf250048f29f7d4f95dca4351ccea670
kubernetes.audit,6aa9d2e8-c7c8-4656-8b14-fedd06283ec2:ResponseComplete,2026-09-02T22:27:54.242568Z,2026-09-02T22:27:54.244124Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://6aa9d2e8-c7c8-4656-8b14-fedd06283ec2,k8s://eacp-cross-plane-v13/rolebindings/eacp-observer,277d479c9461920d11cb67a14eba4926df7cc98ef9697c6a91745d4a366a7319
