source_type,source_id,source_ts,observed_ts,actor,service,intent,policy,action,outcome,source_pointer,correlation_id,content_hash
github.actions.run,github://repositories/1324720646/actions/runs/33682116347/attempts/3,2026-09-02T20:59:06Z,2026-09-02T21:00:33Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,execute_workflow,conclusion:success,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/33682116347,eacp-gha-1324720646-33682116347-3,b76c9aec8f6f931eb6add7da2e495fce76dbf40088de936b4f6bcf5d688a0fbe
github.actions.job,github://repositories/1324720646/actions/runs/33682116347/attempts/3/jobs/100422196884,2026-09-02T20:59:16Z,2026-09-02T21:00:33Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,execute_job,conclusion:success,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/33682116347/job/100422196884,eacp-gha-1324720646-33682116347-3,8551ba18e3932b9d3663c64d31e3828a0f877c00f01266e13f7b241a07155650
github.actions.artifact,github://repositories/1324720646/actions/runs/33682116347/attempts/3/artifacts/9866832330,2026-09-02T21:00:15Z,2026-09-02T21:00:33Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,publish_artifact,available_at_capture,https://api.github.com/repos/obedebessa/eacp-operational-provenance/actions/artifacts/9866832330/zip,eacp-gha-1324720646-33682116347-3,1aa7d67b464ce98c7199ce7b1b1ef48991e95d4c51de0122d8c8fb44770ad3d1
