event_count,trial,seed,variant,build_order,service_index,correlation_index,service_count,query_samples,cold_open_samples,ingest_seconds,ingest_us_per_event,ingest_events_per_second,ingest_time_ratio_to_full,ingest_time_reduction_vs_full_percent,database_bytes,database_bytes_per_event,database_size_ratio_to_full,database_bytes_reduction_vs_full_percent,dbstat_available,dbstat_table_bytes,dbstat_unique_autoindex_bytes,dbstat_retained_source_index_bytes,dbstat_lookup_index_bytes,warm_service_p50_ms,warm_service_p95_ms,warm_service_p95_ratio_to_full,warm_correlation_p50_ms,warm_correlation_p95_ms,warm_correlation_p95_ratio_to_full,cold_open_service_p95_ms,cold_open_service_p95_ratio_to_full,cold_open_correlation_p95_ms,cold_open_correlation_p95_ratio_to_full,verified_warm_queries,verified_warm_rows,verified_cold_open_queries,verified_cold_open_rows,full_projection_rows,full_projection_sha256,all_outputs_equivalent,integrity_check,user_indexes
1000,1,9238,full_indexes,1,1,1,10,10,2,0.004655624972656369,4.655624972656369,214793.9333329566,1.0,0.0,442368,442.368,1.0,0.0,1,262144,24576,45056,102400,0.1163335,0.14336844999999998,1.0,0.014333,0.03370854999999997,1.0,0.29310624999999996,1.0,0.0866902,1.0,20,1068,4,216,1000,763adb572e607f0f0ea57afc37b8aa7eae182dd9d2e37b825176738ddec76972,1,ok,ev_correlation;ev_service_time;ev_source_time
1000,1,9238,no_service_index,2,0,1,10,10,2,0.004083041974809021,4.083041974809021,244915.43466113246,0.8770126457327923,12.298735426720775,397312,397.312,0.8981481481481481,10.185185185185187,1,262144,24576,45056,57344,0.12177099999999999,0.13574170000000002,0.9468031495074407,0.0141245,0.024089949999999985,0.7146539972796222,0.3506,1.1961532720643113,0.0864684,0.9974414639717062,20,1068,4,216,1000,763adb572e607f0f0ea57afc37b8aa7eae182dd9d2e37b825176738ddec76972,1,ok,ev_correlation;ev_source_time
1000,1,9238,no_correlation_index,3,1,0,10,10,2,0.004748833016492426,4.748833016492426,210578.05076048305,1.0200205223538175,-2.002052235381746,385024,385.024,0.8703703703703703,12.962962962962965,1,262144,24576,45056,45056,0.11962500000000001,0.14830814999999997,1.0344545818832525,0.041771,0.05936904999999998,1.7612460340180764,0.25900805,0.8836660767213256,0.15013545,1.7318618482827357,20,1068,4,216,1000,763adb572e607f0f0ea57afc37b8aa7eae182dd9d2e37b825176738ddec76972,1,ok,ev_service_time;ev_source_time
1000,1,9238,no_lookup_indexes,4,0,0,10,10,2,0.004117792006582022,4.117792006582022,242848.59419843578,0.8844767417407603,11.55232582592397,339968,339.968,0.7685185185185185,23.148148148148152,1,262144,24576,45056,0,0.12118799999999999,0.14167309999999997,0.9881748739000804,0.041042,0.09449809999999995,2.8033866778606624,0.32623959999999996,1.1130421135680322,0.1384604,1.5971863024886321,20,1068,4,216,1000,763adb572e607f0f0ea57afc37b8aa7eae182dd9d2e37b825176738ddec76972,1,ok,ev_source_time
