source_type,source_id,source_ts,observed_ts,actor,service,intent,policy,action,outcome,source_pointer,correlation_id,content_hash
github.actions.run,github://repositories/1324720646/actions/runs/33690427562/attempts/1,2026-09-02T22:27:07Z,2026-09-02T22:45:54Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,execute_workflow,conclusion:success,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/33690427562,eacp-gha-1324720646-33690427562-1,7075608b6accc470fdb9d5f91f8879ca18789fb974eaab50670834c3e0d60285
github.actions.job,github://repositories/1324720646/actions/runs/33690427562/attempts/1/jobs/100447685113,2026-09-02T22:27:10Z,2026-09-02T22:45:54Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,execute_job,conclusion:success,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/33690427562/job/100447685113,eacp-gha-1324720646-33690427562-1,4b38b07b9886ca196bbcd1f5f66d03c57bcb03f96373f8ce151390835c1c24f6
github.actions.artifact,github://repositories/1324720646/actions/runs/33690427562/attempts/1/artifacts/9869817088,2026-09-02T22:28:04Z,2026-09-02T22:45:54Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,publish_artifact,available_at_capture,https://api.github.com/repos/obedebessa/eacp-operational-provenance/actions/artifacts/9869817088/zip,eacp-gha-1324720646-33690427562-1,6b9cce8e1f7096ce9ac036fc54ab315342ae82cd14075008f085b36fd83a01fd
