source_type,source_id,source_ts,observed_ts,actor,service,intent,policy,action,outcome,source_pointer,correlation_id,content_hash
kubernetes.audit,a4bf66eb-12f9-4f01-812a-b756c8e1b418:ResponseComplete,2026-09-02T22:28:06.573313Z,2026-09-02T22:28:06.575300Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://a4bf66eb-12f9-4f01-812a-b756c8e1b418,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,e595236a2985d66a801bcf5b3c47491a765fe15ccba890e950fbf11476c770df
kubernetes.audit,586e88f2-ac2e-498c-9f82-7f3beee3f85f:ResponseComplete,2026-09-02T22:28:06.582562Z,2026-09-02T22:28:06.584341Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://586e88f2-ac2e-498c-9f82-7f3beee3f85f,k8s://eacp-cross-plane-v13/serviceaccounts/eacp-observer,6c4e9761b13fe9fef8bd5eabd9c71210d1175361d2dacd8d43fd77ff19e34b4b
kubernetes.audit,37112eca-7c0c-407d-ba2a-4e7f3935dc61:ResponseComplete,2026-09-02T22:28:06.580601Z,2026-09-02T22:28:06.586218Z,system:serviceaccount:kube-system:service-account-controller,eacp-cross-plane-v13/default,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://37112eca-7c0c-407d-ba2a-4e7f3935dc61,k8s://eacp-cross-plane-v13/serviceaccounts/default,283ce7b042b54a383495e5bf4d0a1d54f2ddab49ae23ce1499e2ead7f783893a
kubernetes.audit,8a644b49-f9a5-400b-ba34-c218e0de9858:ResponseComplete,2026-09-02T22:28:06.580371Z,2026-09-02T22:28:06.586769Z,system:serviceaccount:kube-system:root-ca-cert-publisher,eacp-cross-plane-v13/kube-root-ca.crt,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://8a644b49-f9a5-400b-ba34-c218e0de9858,k8s://eacp-cross-plane-v13/configmaps/kube-root-ca.crt,1f774465a80a57a7d36c1d8e0faa1ba0b3a42a822655a0a16dd8ff1fd2dcbc5a
kubernetes.audit,538199c4-00ac-4ca5-aa53-f79ff96cd726:ResponseComplete,2026-09-02T22:28:06.585209Z,2026-09-02T22:28:06.587034Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,200,kubernetes-audit://538199c4-00ac-4ca5-aa53-f79ff96cd726,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,206f659c08e4cdb821eed8b9df9ee2a9862be9523dff2150404d7c5976c0f64a
kubernetes.audit,ad75eae0-d4ee-49e3-84ed-26c86e8c28be:ResponseComplete,2026-09-02T22:28:06.587519Z,2026-09-02T22:28:06.589456Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://ad75eae0-d4ee-49e3-84ed-26c86e8c28be,k8s://eacp-cross-plane-v13/serviceaccounts/eacp-observer,03694a059ac5a74758895c0e8ac9e3acd7b102bee5f9026ba9bbdf3490ff70fa
kubernetes.audit,a2845ffb-05a3-4389-abf4-d9324bfe7049:ResponseComplete,2026-09-02T22:28:06.590328Z,2026-09-02T22:28:06.592264Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://a2845ffb-05a3-4389-abf4-d9324bfe7049,k8s://eacp-cross-plane-v13/roles/eacp-observer,2ca0218c0d8f2316b49163d05ee185ea8635ab43e651c979fc4cc16f4caf43e1
kubernetes.audit,ff47ad15-d4ce-48f2-8fad-ce18f51086b8:ResponseComplete,2026-09-02T22:28:06.593066Z,2026-09-02T22:28:06.594496Z,kubernetes-admin,eacp-cross-plane-v13/eacp-cross-plane-v13,software_delivery,kubernetes-rbac-admission,get,200,kubernetes-audit://ff47ad15-d4ce-48f2-8fad-ce18f51086b8,k8s://eacp-cross-plane-v13/namespaces/eacp-cross-plane-v13,fef5fe467eb50e0c4722b77fe81cf8133247b4f40328168a88ec78dc108a5325
kubernetes.audit,f0a1e9c6-186a-4df2-a57c-28b4c36ef5be:ResponseComplete,2026-09-02T22:28:06.595306Z,2026-09-02T22:28:06.598294Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,create,201,kubernetes-audit://f0a1e9c6-186a-4df2-a57c-28b4c36ef5be,k8s://eacp-cross-plane-v13/roles/eacp-observer,f3786e08d4b37752291fd27ab0ed1abb50d182a9bada7ed1ffb39c9025325bf5
kubernetes.audit,a26775a5-ff13-494f-9118-6dbcd28dc349:ResponseComplete,2026-09-02T22:28:06.599345Z,2026-09-02T22:28:06.601337Z,kubernetes-admin,eacp-cross-plane-v13/eacp-observer,software_delivery,kubernetes-rbac-admission,get,404:NotFound,kubernetes-audit://a26775a5-ff13-494f-9118-6dbcd28dc349,k8s://eacp-cross-plane-v13/rolebindings/eacp-observer,ea15b7b6f9506217aa2f19040e3e139f1c857a01f0bf5d7500a6bdb210240ece
