event_count,trials,ingest_us_per_event_median,ingest_us_per_event_q1,ingest_us_per_event_q3,ingest_us_per_event_min,ingest_us_per_event_max,ingest_events_per_second_median,ingest_events_per_second_q1,ingest_events_per_second_q3,ingest_events_per_second_min,ingest_events_per_second_max,baseline_bytes_per_event_median,baseline_bytes_per_event_q1,baseline_bytes_per_event_q3,baseline_bytes_per_event_min,baseline_bytes_per_event_max,eacp_bytes_per_event_median,eacp_bytes_per_event_q1,eacp_bytes_per_event_q3,eacp_bytes_per_event_min,eacp_bytes_per_event_max,eacp_to_baseline_storage_percent_median,eacp_to_baseline_storage_percent_q1,eacp_to_baseline_storage_percent_q3,eacp_to_baseline_storage_percent_min,eacp_to_baseline_storage_percent_max,service_baseline_p95_ms_median,service_baseline_p95_ms_q1,service_baseline_p95_ms_q3,service_baseline_p95_ms_min,service_baseline_p95_ms_max,service_eacp_p95_ms_median,service_eacp_p95_ms_q1,service_eacp_p95_ms_q3,service_eacp_p95_ms_min,service_eacp_p95_ms_max,service_p95_speedup_median,service_p95_speedup_q1,service_p95_speedup_q3,service_p95_speedup_min,service_p95_speedup_max,correlation_baseline_p95_ms_median,correlation_baseline_p95_ms_q1,correlation_baseline_p95_ms_q3,correlation_baseline_p95_ms_min,correlation_baseline_p95_ms_max,correlation_eacp_p95_ms_median,correlation_eacp_p95_ms_q1,correlation_eacp_p95_ms_q3,correlation_eacp_p95_ms_min,correlation_eacp_p95_ms_max,correlation_p95_speedup_median,correlation_p95_speedup_q1,correlation_p95_speedup_q3,correlation_p95_speedup_min,correlation_p95_speedup_max,service_rows_per_query_mean_median,service_rows_per_query_mean_q1,service_rows_per_query_mean_q3,service_rows_per_query_mean_min,service_rows_per_query_mean_max,correlation_rows_per_query_mean_median,correlation_rows_per_query_mean_q1,correlation_rows_per_query_mean_q3,correlation_rows_per_query_mean_min,correlation_rows_per_query_mean_max
10000,10,4.9544770969077945,4.866432293783873,5.048813589382917,4.797533294185996,6.732141692191362,201838.96597353352,198072.5832882967,205493.72902044686,148541.13976238854,208440.45026469615,233.8816,233.8816,233.8816,233.8816,237.568,414.9248,414.9248,414.9248,414.9248,416.1536,177.40805604203152,177.40805604203152,177.40805604203152,175.17241379310346,177.40805604203152,0.10495370000000001,0.10308802500000001,0.11155632500000003,0.09853335,0.12335415000000002,0.07508732500000001,0.0741581625,0.07881935,0.07196635,0.093742,1.3828426351796739,1.3525338517391132,1.4063084270182336,1.3099633866181681,1.513001917785375,0.028387525000000004,0.027838937500000004,0.03075495,0.026333,0.0323045,0.01860865,0.017925625,0.020606225000000002,0.017167,0.021846450000000003,1.5275862411322034,1.485690333258609,1.5533808856156561,1.428197659727933,1.5861955152214409,49.983333333333334,49.91,50.065000000000005,49.833333333333336,50.39333333333333,6.0,6.0,6.0,5.993333333333333,6.0
50000,10,5.061823325231671,5.003227069973946,5.102670416235924,4.939512498676777,5.153471659868956,197558.31162360997,195976.20165959615,199872.95688283737,194043.95056388617,202449.128384205,227.7376,227.7376,227.7376,227.7376,229.29408,412.79488,412.79488,412.79488,412.79488,413.85984,181.25899280575538,181.25899280575538,181.25899280575538,180.4930332261522,181.25899280575538,0.510325875,0.5001974,0.5194875125,0.4877652,0.5472458500000001,0.33563942500000005,0.33000795,0.36139065000000004,0.32221810000000006,0.3641878,1.512645785677441,1.4713729436752891,1.51463727211337,1.4072609029069445,1.5480365465473338,0.0357342,0.034135175000000004,0.03838331250000001,0.032875,0.04417290000000001,0.0201963,0.019188274999999998,0.021099050000000008,0.018246500000000006,0.025202400000000007,1.8033697650813125,1.7750391454518848,1.8216935367485965,1.6590997858054435,1.841832442657148,249.98333333333335,249.91333333333336,250.08499999999998,249.84,250.25333333333333,6.0,6.0,6.0,6.0,6.0
100000,10,5.331922289915383,5.17390999943018,5.692229064879939,5.09900082834065,5.775909167714417,187549.66024206992,175692.151922112,193289.72562836236,173132.91656137828,196116.85380436122,228.39296,228.39296,228.48512,228.39296,229.70368,413.98272,413.98272,413.98272,413.98272,414.84288,181.2589670014347,181.1858656076808,181.2589670014347,180.5991440798859,181.2589670014347,1.1413819750000003,1.1108228875000001,1.1652472625000003,1.04987855,1.590335450000006,0.6909246,0.6786655,0.6965497625,0.64099405,1.41218335,1.647498599915795,1.6174923701616835,1.6714586677293042,1.1261536612791858,1.6747197472807558,0.045379025,0.044107875000000005,0.04850490000000001,0.04172565000000001,0.24972740000000002,0.02244585,0.022019575000000007,0.025058125000000007,0.0202604,0.11999585000000004,2.0480010777600417,1.9768724113100715,2.0849189830559216,1.8990728177777012,2.1782399986022716,499.98333333333335,499.91,500.065,499.8333333333333,500.3933333333333,6.0,6.0,6.0,6.0,6.0
