source_type,source_id,source_ts,observed_ts,actor,service,intent,policy,action,outcome,source_pointer,correlation_id,content_hash
github.actions.run,github://repositories/1324720646/actions/runs/33682116347/attempts/1,2026-09-02T20:55:00Z,2026-09-02T20:57:19Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,execute_workflow,conclusion:success,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/33682116347,eacp-gha-1324720646-33682116347-1,c2840c50634fc65056bf10e6f1180b76aad786a626ae527da162b4dd2274faf2
github.actions.job,github://repositories/1324720646/actions/runs/33682116347/attempts/1/jobs/100420890785,2026-09-02T20:55:03Z,2026-09-02T20:57:19Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,execute_job,conclusion:success,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/33682116347/job/100420890785,eacp-gha-1324720646-33682116347-1,55b4b0935fbc99e79ea6418a099c1e6b05a249ca8f94b937d443c5baaf8280c1
github.actions.artifact,github://repositories/1324720646/actions/runs/33682116347/attempts/1/artifacts/9866678909,2026-09-02T20:56:03Z,2026-09-02T20:57:19Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,publish_artifact,available_at_capture,https://api.github.com/repos/obedebessa/eacp-operational-provenance/actions/artifacts/9866678909/zip,eacp-gha-1324720646-33682116347-1,b6bc56da1944f556dba73c7da428d1aa6787d620b8688c3a4fd45ea10ee53339
