scenario,algorithm,seed,configured_chain_count,configured_service_count,configured_overlap_fraction,temporal_window_ms,missing_id_events,wrong_id_events,collision_pairs,exact_duplicate_observations,conflicting_duplicate_observations,clock_skewed_events,late_events,jittered_events,truth_chain_count,event_count,canonical_event_count,observation_count,predicted_group_count,predicted_chain_group_count,complete_chain_count,complete_chain_coverage,exact_chain_accuracy,exact_chain_precision,exact_chain_recall,exact_chain_f1,mean_chain_member_coverage,true_join_pair_count,predicted_join_pair_count,correct_join_count,missed_join_count,missed_join_rate,false_join_count,false_join_rate,join_precision,join_recall,ambiguous_group_count,ambiguous_event_count,ambiguous_event_rate,accepted_ambiguous_group_count,detected_ambiguous_group_count,ambiguity_detection_true_positive,ambiguity_detection_false_positive,ambiguity_detection_false_negative,ambiguity_detection_precision,ambiguity_detection_recall,source_conflict_group_count,detected_source_conflict_group_count,source_conflict_detection_precision,source_conflict_detection_recall,abstained_observation_count,abstention_rate,deduplicated_observation_count,deduplication_rate,time_to_completeness_observations,time_to_completeness_p50_ms,time_to_completeness_p95_ms,time_to_completeness_max_ms,arrival_inversion_count,arrival_inversion_rate
missing_plane_identity,naive_temporal_window,20260905,24,4,0.25,1500,24,0,0,0,0,0,0,0,24,144,144,144,24,24,20,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333334,360,378,342,18,0.05,36,0.09523809523809523,0.9047619047619048,0.95,2,18,0.125,2,2,2,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,20,1275.0,1275.0,1275.0,0,0.0
missing_plane_policy,strict_service_plus_correlation,20260905,24,4,0.25,1500,24,0,0,0,0,0,0,0,24,144,144,144,48,24,0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,360,240,240,120,0.3333333333333333,0,0.0,1.0,0.6666666666666666,0,0,0.0,0,0,0,0,0,,,0,0,,,24,0.16666666666666666,0,0.0,0,,,,0,0.0
missing_plane_policy,correlation_id_only_ablation,20260905,24,4,0.25,1500,24,0,0,0,0,0,0,0,24,144,144,144,48,24,0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,360,240,240,120,0.3333333333333333,0,0.0,1.0,0.6666666666666666,0,0,0.0,0,0,0,0,0,,,0,0,,,24,0.16666666666666666,0,0.0,0,,,,0,0.0
missing_plane_policy,naive_temporal_window,20260905,24,4,0.25,1500,24,0,0,0,0,0,0,0,24,144,144,144,24,24,20,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333334,360,378,342,18,0.05,36,0.09523809523809523,0.9047619047619048,0.95,2,18,0.125,2,2,2,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,20,1275.0,1275.0,1275.0,0,0.0
missing_plane_telemetry,strict_service_plus_correlation,20260905,24,4,0.25,1500,24,0,0,0,0,0,0,0,24,144,144,144,48,24,0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,360,240,240,120,0.3333333333333333,0,0.0,1.0,0.6666666666666666,0,0,0.0,0,0,0,0,0,,,0,0,,,24,0.16666666666666666,0,0.0,0,,,,0,0.0
missing_plane_telemetry,correlation_id_only_ablation,20260905,24,4,0.25,1500,24,0,0,0,0,0,0,0,24,144,144,144,48,24,0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,360,240,240,120,0.3333333333333333,0,0.0,1.0,0.6666666666666666,0,0,0.0,0,0,0,0,0,,,0,0,,,24,0.16666666666666666,0,0.0,0,,,,0,0.0
missing_plane_telemetry,naive_temporal_window,20260905,24,4,0.25,1500,24,0,0,0,0,0,0,0,24,144,144,144,24,24,20,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333334,360,378,342,18,0.05,36,0.09523809523809523,0.9047619047619048,0.95,2,18,0.125,2,2,2,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,20,1275.0,1275.0,1275.0,0,0.0
missing_plane_incident,strict_service_plus_correlation,20260905,24,4,0.25,1500,24,0,0,0,0,0,0,0,24,144,144,144,48,24,0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,360,240,240,120,0.3333333333333333,0,0.0,1.0,0.6666666666666666,0,0,0.0,0,0,0,0,0,,,0,0,,,24,0.16666666666666666,0,0.0,0,,,,0,0.0
missing_plane_incident,correlation_id_only_ablation,20260905,24,4,0.25,1500,24,0,0,0,0,0,0,0,24,144,144,144,48,24,0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,360,240,240,120,0.3333333333333333,0,0.0,1.0,0.6666666666666666,0,0,0.0,0,0,0,0,0,,,0,0,,,24,0.16666666666666666,0,0.0,0,,,,0,0.0
missing_plane_incident,naive_temporal_window,20260905,24,4,0.25,1500,24,0,0,0,0,0,0,0,24,144,144,144,24,24,20,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333334,360,378,342,18,0.05,36,0.09523809523809523,0.9047619047619048,0.95,2,18,0.125,2,2,2,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,20,1275.0,1275.0,1275.0,0,0.0
missing_plane_recovery,strict_service_plus_correlation,20260905,24,4,0.25,1500,24,0,0,0,0,0,0,0,24,144,144,144,48,24,0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,360,240,240,120,0.3333333333333333,0,0.0,1.0,0.6666666666666666,0,0,0.0,0,0,0,0,0,,,0,0,,,24,0.16666666666666666,0,0.0,0,,,,0,0.0
missing_plane_recovery,correlation_id_only_ablation,20260905,24,4,0.25,1500,24,0,0,0,0,0,0,0,24,144,144,144,48,24,0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,360,240,240,120,0.3333333333333333,0,0.0,1.0,0.6666666666666666,0,0,0.0,0,0,0,0,0,,,0,0,,,24,0.16666666666666666,0,0.0,0,,,,0,0.0
missing_plane_recovery,naive_temporal_window,20260905,24,4,0.25,1500,24,0,0,0,0,0,0,0,24,144,144,144,24,24,20,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333334,360,378,342,18,0.05,36,0.09523809523809523,0.9047619047619048,0.95,2,18,0.125,2,2,2,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,20,1275.0,1275.0,1275.0,0,0.0
collision_same_service_1pct,strict_service_plus_correlation,20260905,24,4,0.25,1500,0,0,0,0,0,0,0,0,24,144,144,144,24,24,24,1.0,1.0,1.0,1.0,1.0,1.0,360,360,360,0,0.0,0,0.0,1.0,1.0,0,0,0.0,0,0,0,0,0,,,0,0,,,0,0.0,0,0.0,24,1275.0,1275.0,1275.0,0,0.0
collision_same_service_1pct,correlation_id_only_ablation,20260905,24,4,0.25,1500,0,0,0,0,0,0,0,0,24,144,144,144,24,24,24,1.0,1.0,1.0,1.0,1.0,1.0,360,360,360,0,0.0,0,0.0,1.0,1.0,0,0,0.0,0,0,0,0,0,,,0,0,,,0,0.0,0,0.0,24,1275.0,1275.0,1275.0,0,0.0
collision_same_service_1pct,naive_temporal_window,20260905,24,4,0.25,1500,0,0,0,0,0,0,0,0,24,144,144,144,24,24,20,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333334,360,378,342,18,0.05,36,0.09523809523809523,0.9047619047619048,0.95,2,18,0.125,2,2,2,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,20,1275.0,1275.0,1275.0,0,0.0
collision_same_service_5pct,strict_service_plus_correlation,20260905,24,4,0.25,1500,0,0,1,0,0,0,0,0,24,144,144,144,34,22,22,0.9166666666666666,0.9166666666666666,1.0,0.9166666666666666,0.9565217391304348,0.9305555555555556,360,330,330,30,0.08333333333333333,0,0.0,1.0,0.9166666666666666,1,12,0.08333333333333333,0,1,1,0,0,1.0,1.0,0,0,,,12,0.08333333333333333,0,0.0,22,1275.0,1275.0,1275.0,0,0.0
collision_same_service_5pct,correlation_id_only_ablation,20260905,24,4,0.25,1500,0,0,1,0,0,0,0,0,24,144,144,144,23,23,22,0.9166666666666666,0.9166666666666666,0.9565217391304348,0.9166666666666666,0.9361702127659574,1.0,360,396,360,0,0.0,36,0.09090909090909091,0.9090909090909091,1.0,1,12,0.08333333333333333,1,1,1,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,22,1275.0,1275.0,1275.0,0,0.0
collision_same_service_5pct,naive_temporal_window,20260905,24,4,0.25,1500,0,0,1,0,0,0,0,0,24,144,144,144,24,24,20,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333334,360,378,342,18,0.05,36,0.09523809523809523,0.9047619047619048,0.95,2,18,0.125,2,2,2,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,20,1275.0,1275.0,1275.0,0,0.0
collision_same_service_10pct,strict_service_plus_correlation,20260905,24,4,0.25,1500,0,0,2,0,0,0,0,0,24,144,144,144,44,20,20,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091,0.8611111111111112,360,300,300,60,0.16666666666666666,0,0.0,1.0,0.8333333333333334,2,24,0.16666666666666666,0,2,2,0,0,1.0,1.0,0,0,,,24,0.16666666666666666,0,0.0,20,1275.0,1275.0,1275.0,0,0.0
collision_same_service_10pct,correlation_id_only_ablation,20260905,24,4,0.25,1500,0,0,2,0,0,0,0,0,24,144,144,144,22,22,20,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8695652173913043,1.0,360,432,360,0,0.0,72,0.16666666666666666,0.8333333333333334,1.0,2,24,0.16666666666666666,2,2,2,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,20,1275.0,1275.0,1275.0,0,0.0
collision_same_service_10pct,naive_temporal_window,20260905,24,4,0.25,1500,0,0,2,0,0,0,0,0,24,144,144,144,24,24,20,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333334,360,378,342,18,0.05,36,0.09523809523809523,0.9047619047619048,0.95,2,18,0.125,2,2,2,0,0,1.0,1.0,0,0,,,0,0.0,0,0.0,20,1275.0,1275.0,1275.0,0,0.0
collision_cross_service_5pct,strict_service_plus_correlation,20260905,24,4,0.25,1500,0,0,1,0,0,0,0,0,24,144,144,144,24,24,24,1.0,1.0,1.0,1.0,1.0,1.0,360,360,360,0,0.0,0,0.0,1.0,1.0,0,0,0.0,0,0,0,0,0,,,0,0,,,0,0.0,0,0.0,24,1275.0,1275.0,1275.0,0,0.0
