source_type,source_id,source_ts,observed_ts,actor,service,intent,policy,action,outcome,source_pointer,correlation_id,content_hash
github.actions.run,github://repositories/1324720646/actions/runs/33690426246/attempts/1,2026-09-02T22:27:06Z,2026-09-02T22:45:54Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,execute_workflow,conclusion:success,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/33690426246,eacp-gha-1324720646-33690426246-1,a2e493b7b44580f4e1fcadf2dc124dc185b11c92ccd202d6bde003e4501f62a1
github.actions.job,github://repositories/1324720646/actions/runs/33690426246/attempts/1/jobs/100447680679,2026-09-02T22:27:09Z,2026-09-02T22:45:54Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,execute_job,conclusion:success,https://github.com/obedebessa/eacp-operational-provenance/actions/runs/33690426246/job/100447680679,eacp-gha-1324720646-33690426246-1,a19a82fc773678879e9a59e6546a693c62c363f1543de27aaba3b30452dcb090
github.actions.artifact,github://repositories/1324720646/actions/runs/33690426246/attempts/1/artifacts/9869816401,2026-09-02T22:28:02Z,2026-09-02T22:45:54Z,obedebessa,obedebessa/eacp-operational-provenance,software_delivery,github-actions:.github/workflows/eacp-cross-plane-v1.3.yml,publish_artifact,available_at_capture,https://api.github.com/repos/obedebessa/eacp-operational-provenance/actions/artifacts/9869816401/zip,eacp-gha-1324720646-33690426246-1,2192a3a41dbd399fedef96ca7ce154188d68e12e6b3a4025e5068c7b17a415f1
